Source Question,Ground Truth,Source Answer,New Question,New Answer,Inspectation Conclusion
for what did the personage who was educated at the dewitt high school win a gold medal?,"[{'kb_id': 'm.0h_f7xn', 'text': ""Gymnastics at the 2012 Summer Olympics ¨C Women's artistic team all-around""}]","['m.03vs1b', 'm.03ds1pm']",what is the reason why the dewitt high school educated person won the gold medal?,"['m.03vs1b', 'm.04rrx', 'm.03ds1pm']",TP
who is the daughter of the artist who had a concert tour called i am... world tour?,"[{'kb_id': 'm.0hvsrmc', 'text': 'Blue Ivy'}]","['m.0chghy', 'm.0d060g', 'm.06_tvxf', 'm.03_3d', 'm.040q4wm', 'm.05ywb5j', 'm.05ywb5f', 'm.05ywb92', 'm.05ywb7d', 'm.05ywb8q', 'm.05ywb81', 'm.05ywb8t', 'm.05ywb6v', 'm.05ywb5q', 'm.05ywb4z', 'm.05ywb8j']",who is the daughter of an artist who has a concert tour called "i am"... world tour?,"['m.0chghy', 'm.0d060g']",TP
what are the governmental types in the country whose national anthem is tien quan ca?,"[{'kb_id': 'm.01fkst', 'text': 'Communist state'}, {'kb_id': 'm.025tbxf', 'text': 'Socialist state'}, {'kb_id': 'm.0py4y', 'text': 'Single-party state'}]","['m.0fq0t_c', 'm.03hz6vv', 'm.05z96', 'm.01c72t']",what types of governments are there in countries where the national anthem is tianquan card?,"['m.07f1x', 'm.0btwts', 'm.01q6w3', 'm.0nn4qt4', 'm.0nkzqx6', 'm.0hf7']",FP
which of team owners tom hicks sports team are in the american league west?,"[{'kb_id': 'm.07l8x', 'text': 'Texas Rangers'}]","['m.07l8x', 'm.04wmvz', 'm.05m_8', 'm.06wpc']",which team owns the tom hicks sports team in the western conference?,"['m.07l8x', 'm.04wmvz', 'm.05m_8', 'm.06wpc', 'm.065y4w7']",FP
what movie with the character teklel hafouli did ron howard do?,"[{'kb_id': 'm.09gf7yk', 'text': 'The Journey'}]","['m.0crrc8', 'm.09gf7yk', 'm.09m6kg', 'm.02mh4b', 'm.02yf34', 'm.01hw5kk', 'm.050gkf']",ron howard made a movie about turkle haveley?,"['m.0crrc8', 'm.09m6kg', 'm.02yf34', 'm.02mh4b', 'm.09gf7yk', 'm.050gkf', 'm.04ynx7', 'm.034bm_', 'm.047nfz', 'm.08l7_vg', 'm.09dv25s', 'm.02_1sj', 'm.02vqsll', 'm.011yd2']",FP
"in the nation that has the badakhshan province, what religions are practiced?","[{'kb_id': 'm.06pq6', 'text': 'Shia Islam'}, {'kb_id': 'm.078tg', 'text': 'Sunni Islam'}]","['m.0j0k', 'm.0493b56', 'm.0493b5d', 'm.06nn1', 'm.02qkt']",what are the religious beliefs in the country with badakhshan province?,['m.01fgl7'],TP
who was the governor of arizona in 2009 that held his governmental position before 1998?,"[{'kb_id': 'm.01kf06', 'text': 'Janet Napolitano'}]","['m.024p7j', 'm.0bymv', 'm.02pkb1c', 'm.01y0mp', 'm.0cdmhq', 'm.018mts', 'm.0wy509c', 'm.0bq7m', 'm.02sjxl', 'm.01j6t', 'm.0_xbrzt', 'm.04dt8k']",who was the governor of arizona in 2009 and held government positions before 1998?,"['m.024p7j', 'm.0bymv', 'm.02pkb1c', 'm.01y0mp', 'm.018mts', 'm.0cdmhq', 'm.0wy509c', 'm.0bq7m', 'm.02sjxl', 'm.01j6t', 'm.0_xbrzt', 'm.04dt8k', 'm.03l8kj']",TP
what does the missouri river bisect in the central time zone?,"[{'kb_id': 'm.03s0w', 'text': 'Iowa'}, {'kb_id': 'm.0488g', 'text': 'Kansas'}, {'kb_id': 'm.04ych', 'text': 'Missouri'}, {'kb_id': 'm.05fhy', 'text': 'Nebraska'}, {'kb_id': 'm.05fky', 'text': 'North Dakota'}, {'kb_id': 'm.06mz5', 'text': 'South Dakota'}]","['m.01gznn', 'm.04yf_', 'm.03f_9']",what is the bisection of the missouri river in the central time zone?,"['m.01gznn', 'm.03s0w', 'm.04ych', 'm.05fhy', 'm.05fky', 'm.06mz5']",TP
who was the governor of ohio in 2011 that was in the government prior to 3-1-1983?,"[{'kb_id': 'm.0340r0', 'text': 'Return J. Meigs, Jr.'}, {'kb_id': 'm.02zzm_', 'text': 'John Kasich'}]","['m.0343xg', 'm.034s80', 'm.01_pgn', 'm.034_n2', 'm.0clwr', 'm.0351xv', 'm.034qmh', 'm.0340l5', 'm.0835q']","who was the governor of ohio in 2011 and served in the government before march 1, 1983?","['m.0343xg', 'm.034s80', 'm.01_pgn', 'm.0clwr', 'm.034_n2', 'm.034qmh', 'm.0351xv', 'm.0835q']",TP
which of the seven central american countries had co2 emissions per capita once of 2009 metric ton?,"[{'kb_id': 'm.0164b', 'text': 'Belize'}, {'kb_id': 'm.01p8s', 'text': 'Costa Rica'}, {'kb_id': 'm.02k8k', 'text': 'El Salvador'}, {'kb_id': 'm.0345_', 'text': 'Guatemala'}, {'kb_id': 'm.03h2c', 'text': 'Honduras'}, {'kb_id': 'm.05qx1', 'text': 'Panama'}]","['m.05qx1', 'm.03h2c', 'm.0164b', 'm.0345_', 'm.01p8s', 'm.02k8k', 'm.05c74', 'm.0b90_r', 'm.0d04z6', 'm.0162v', 'm.0jgd', 'm.0165v', 'm.01p1v', 'm.0d060g', 'm.05r7t', 'm.015fr', 'm.07ylj', 'm.06s0l', 'm.03gyl', 'm.027rn', 'm.06ryl', 'm.016wzw', 'm.027nb', 'm.06s6l']",which of the seven central american countries has a per capita carbon dioxide emission of 2009 metric tons?,"['m.05qx1', 'm.03h2c', 'm.0164b', 'm.0345_', 'm.01p8s', 'm.02k8k', 'm.05c74', 'm.0b90_r', 'm.0d04z6', 'm.0jgd', 'm.0162v', 'm.0165v', 'm.05r7t', 'm.01p1v', 'm.0d060g', 'm.07ylj', 'm.03gyl', 'm.06s0l', 'm.015fr', 'm.027rn', 'm.06ryl', 'm.06s6l']",TP
what team that has a mascot named mariner moose is in the american league west?,"[{'kb_id': 'm.06wpc', 'text': 'Seattle Mariners'}]",['m.06wpc'],which team's mascot in the western conference is "sailor moose"?,"['m.06wpc', 'm.04wmvz', 'm.05m_8']",FP
which location in the anadyr timezone has the biggest population?,"[{'kb_id': 'm.03rk0', 'text': 'India'}]","['m.03h64', 'm.0d05w3', 'm.05k3k', 'm.03rk0', 'm.03spz', 'm.016zwt', 'm.07f1x', 'm.06f32', 'm.0j1z8', 'm.03_3d', 'm.03ryn', 'm.05l8y', 'm.04thp', 'm.04w8f', 'm.047lj', 'm.06m_5', 'm.01crd5', 'm.01xbgx', 'm.04xn_', 'm.04hhv', 'm.07bxhl', 'm.06t2t', 'm.03__y', 'm.01z215', 'm.01z88t', 'm.0d05q4', 'm.0161c', 'm.047yc', 'm.0697s', 'm.05b7q', 'm.04ty8', 'm.01c4pv', 'm.02lx0', 'm.0167v', 'm.03shp']",which part of anadale time zone has the largest population?,"['m.05k3k', 'm.08d6nx', 'm.0y497tt', 'm.03plfd', 'm.0dy7xw', 'g.1224z91_', 'm.0y496qm', 'm.0y4ds30', 'm.043wfcz', 'm.0y498pq', 'm.0269jsg', 'm.0y4dztc', 'm.0d05w3', 'm.019zjx', 'm.0y49bpk', 'm.03h64', 'm.047sp2s', 'm.0y4970s', 'm.0y49cjm', 'm.03spz', 'm.04qqww', 'm.0y4dzzg', 'm.0y4d_5d', 'm.0y49bwc', 'm.0y4993n', 'm.0c025rk', 'm.0y48cqk', 'm.03ryn', 'm.04w8f', 'm.07f1x', 'm.05l8y', 'm.0y4dqbg', 'm.0j1z8', 'm.0y4dz__', 'm.0y4d_3h', 'm.063w6x', 'm.06f32', 'm.043wfc5']",TP
what is the most recent event in which the sports team owned by james l. dolan won the championship?,"[{'kb_id': 'm.0cs1kg', 'text': '1973 NBA Finals'}]","['m.0cs1x4', 'm.0cs1kg']",in which event has james l. dolan's sports team recently won the championship?,"['m.0cs1x4', 'm.0cs1kg', 'm.04v49y']",FP
what's the currency of the country that includes the location of buenos aires?,"[{'kb_id': 'm.024nzm', 'text': 'Argentine peso'}]","['m.0h2h51', 'm.0c76fd', 'm.037t1c', 'm.036ybq', 'm.026c44n', 'm.037r9_', 'm.0375gv', 'm.0dttk5', 'm.0hsqf', 'm.08rtyz', 'm.028bt08', 'm.02w4wy4', 'm.02rxgfc', 'm.096pn7', 'm.06mkj', 'm.04sxb3g', 'm.02gv5v', 'm.0bd9wc', 'm.01xx_l', 'm.01xxfx', 'm.035dx8', 'm.01xy1s', 'm.035d_s', 'm.035dy1', 'm.01xy0h', 'm.035fwb', 'm.035fvw', 'm.035g07', 'm.01xy2_', 'm.0d7_4', 'm.031j1r', 'm.01df1y', 'm.035f19', 'm.09049qd', 'm.0hznz1d', 'm.0hzrm4n', 'm.0gfg87j', 'm.06_wvxf', 'm.035fws', 'm.035fb6', 'm.07nt64t', 'm.07nt653', 'm.07nt6y8', 'm.07nt6y1', 'm.07nt64z', 'm.0805xh_', 'm.07nt667', 'm.01xxzb', 'm.07nt6rw', 'm.07nt712', 'm.07nt6wk', 'm.07nt5s7', 'm.07nt6d2', 'm.07nt5f6', 'm.07nt717', 'm.07nt5fj', 'm.07nt6s0', 'm.07nt63c', 'm.035f90', 'm.05ktfr', 'm.07nt682', 'm.07nt6q6', 'm.07nt67y', 'm.07nt66d', 'm.07nt61y', 'm.07nt71f', 'm.07nt6n3', 'm.02rqchg', 'm.07nt68d', 'm.07_xh4', 'm.09nl09', 'm.07nt5bs', 'm.07nt5bm', 'm.07nt687', 'm.07nt6qc', 'm.07nt71w', 'm.07nt6wd', 'm.07nt5ss', 'm.07nt5fc', 'm.07nt62r', 'm.07nt5ry', 'm.07nt61s', 'm.07wx4kx', 'm.0l6sv', 'm.02r3lvt', 'm.07nrz6', 'm.07nn_s_', 'm.07nt64h', 'm.02h40lc', 'm.07nt5j5', 'm.07nt636', 'm.07nn_vc', 'm.07nt6cy', 'm.02rlb3t', 'm.0338d0', 'm.07nt5sd', 'm.07nt6mb', 'm.07nt62x', 'm.07nn_p8', 'm.07nn_ml', 'm.07nt64n', 'm.07nn_n8', 'm.0bh660', 'm.07nn_rz', 'm.010fy351', 'm.07nn_sf', 'm.06qd3', 'm.07nt5s2', 'm.07nn_t6', 'm.07nt5fx', 'm.07nt63q', 'm.07nn_vx', 'm.07nt6xg']",what is the currency of countries including buenos aires?,"['m.036ybq', 'm.0h2h51', 'm.0c76fd', 'm.06mkj', 'm.037t1c', 'm.026c44n', 'm.037r9_', 'm.0hsqf', 'm.02rxgfc', 'm.08rtyz', 'm.02w4wy4', 'm.028bt08', 'm.0dttk5', 'm.096pn7', 'm.01ky3d', 'm.01p1v', 'm.0375gv', 'm.031j1r', 'm.02rlb3t', 'm.01xx_l', 'm.01xxfx', 'm.035dx8', 'm.01xy1s', 'm.035d_s', 'm.035dy1', 'm.01xy0h', 'm.035fwb', 'm.06_wvxf', 'm.035g07', 'm.0d7_4', 'm.0gfg87j', 'm.0hzrm4n', 'm.035fvw', 'm.01xy2_', 'm.0hznz1d', 'm.01df1y', 'm.035f19', 'm.09049qd', 'm.04sxb3g', 'm.035fws', 'm.02r3lvt', 'm.0805xh_', 'm.035fb6', 'm.07nt64t', 'm.07nt653', 'm.07nt6y8', 'm.07nt6y1', 'm.07nt64z', 'm.02gv5v', 'm.07nt667', 'm.07nt6rw', 'm.07nt712', 'm.01xxzb', 'm.02rqchg', 'm.07nt6wk', 'm.07nt5s7', 'm.07nt6d2', 'm.07nt5f6', 'm.07nt717', 'm.07nt5fj', 'm.07nt6s0', 'm.07nt63c', 'm.07nt682', 'm.035f90', 'm.07nt67y', 'm.0jgd', 'm.01_t37', 'm.0bd9wc', 'm.07nt6q6', 'm.07nt66d', 'm.07nt71f', 'm.07nt68d', 'm.07nt61y', 'm.07nt687', 'm.07nt6n3', 'm.07nt6qc', 'm.07nt71w', 'm.07nt6wd', 'm.07nt5fc', 'm.07nt7lw', 'm.07nt7hc', 'm.07nt62r', 'm.07nt5bs', 'm.07nn_s_', 'm.07nt61s', 'm.07nt5bm', 'm.07nn_vc', 'm.07nt5ss', 'm.07nt6cy', 'm.07nt64h', 'm.07nt5ry', 'm.07nt5fx', 'm.07nt5sd', 'm.07nt6mb', 'm.07nt5fp', 'm.07nt636', 'm.07nn_p8', 'm.07nn_ml', 'm.07nt64n', 'm.07nn_n8', 'm.07nt62x', 'm.07nn_rz', 'm.015fr', 'm.07nt5j5', 'm.07nn_sf', 'm.07nt5gj', 'm.07wx4kx', 'm.07nn_t6', 'm.07nt5s2', 'm.07nn_rq', 'm.07nn_vj', 'm.07nn_vr', 'm.07nt5wp', 'm.07nn_vx', 'm.07nt7bn', 'm.07nn_ps', 'm.07_xh4', 'm.09nl09', 'm.07nt6ld', 'm.07nn_tw', 'm.07nt6t6', 'm.07nn_rv', 'm.07nn_mg', 'm.07nt63q', 'm.07nn_nd', 'm.07nt5k_', 'm.06qd3', 'm.07nt5w1', 'm.07nn_pd', 'm.07nt7g7', 'm.07nn_r8', 'm.07nt7m5', 'm.07nt6vd', 'm.07nn_q9', 'm.07nn_mv', 'm.07nn_qk', 'm.07nn_r4', 'm.07nn_nn', 'm.0l6sv', 'm.07nn_w4', 'm.07nn_r0', 'm.07nt6mz', 'm.07nt6m5', 'm.07nn_pn', 'm.07nt7hj', 'm.07nn_qp', 'm.07nn_pj', 'm.07nn_qf', 'm.07nt7lk', 'm.07nn_s2', 'm.07nt6xg', 'm.07nn_t_', 'm.07nt5w6', 'm.07nt6v7', 'm.07nt631', 'm.07nt5hk', 'm.07nt5kv', 'm.07nt7fs', 'm.07nt62l', 'm.07nt64b', 'm.07nt645', 'm.02h40lc', 'm.07nt6mt', 'm.07nt6pc', 'm.07nt7ld', 'm.07nt7cd', 'm.07nt6t1', 'm.07nt6v2', 'm.07nt7gx', 'm.0338d0', 'm.07nt7h6', 'm.07nt6q1', 'm.07nt5g1', 'm.07nt5wj', 'm.07nt6n8', 'm.07nt5rs', 'm.07nt6tc', 'm.07nt7fy', 'm.07nt6nf', 'm.07nt6x9', 'm.07nt723', 'm.07nt6p1', 'm.07nt6h5', 'm.05qtj', 'm.07nt7cn', 'm.07nt6tj', 'm.07nt5wc', 'm.07nt63k', 'm.07nt6lw', 'm.07nt6hb', 'm.07nt6fb', 'm.07nt5sy', 'm.07nt7ct', 'm.0bh660', 'm.07nt7l2', 'm.07nt5j0', 'm.07nt6f5', 'm.07nt6nl', 'm.02sbkc', 'm.07nt728', 'm.07nt7dg', 'm.07nt6nr', 'm.07nt6kf', 'm.07nt6g3', 'm.010fy351', 'm.02774r6', 'm.07nt6nx', 'm.07nt5kp', 'm.07nt6sx', 'm.05ktfr', 'm.07nt5g6', 'm.07nt78v', 'm.07nt5hd', 'm.06n3y', 'm.07nt733', 'm.07nt6p6', 'm.07nt5by', 'm.07nt5hw', 'm.07nt6mh', 'm.07nt79p', 'm.07nt6lk', 'm.07nt5kj', 'm.07nt6m0']",TP
who holds the position of prime minister in the country which contains dire dawa?,"[{'kb_id': 'm.0dl1t3', 'text': 'Hailemariam Desalegn'}]","['m.010gq7v5', 'm.022vxm']","in this country with dredava, who is the prime minister?","['m.022vxm', 'm.027jk', 'm.010gq7v5']",TP
"what museum established before 1971 is there to see in vienna, austria?","[{'kb_id': 'm.03yy70', 'text': 'Kunsthistorisches Museum'}]","['m.02q__dl', 'm.08j7nmv', 'm.098gjd', 'm.0bygq4', 'm.04lv9z', 'm.0b0lgr', 'm.021c8v', 'm.071ygm', 'm.04zct1', 'm.0c1v9t', 'm.02w4zw', 'm.09fvwy', 'm.01c921', 'm.015_kq', 'm.05ksgz', 'm.08v5y9', 'm.079jqn', 'm.07xjrz', 'm.0czbmkt', 'm.027fx_h']","what museums were established in vienna, austria before 1971?","['m.02q__dl', 'm.021c8v', 'm.0bygq4', 'm.04zct1', 'm.04lv9z', 'm.0b0lgr', 'm.08j7nmv', 'm.098gjd', 'm.071ygm', 'm.0c1v9t', 'm.015_kq', 'm.02w4zw', 'm.05ksgz', 'm.09fvwy', 'm.01c921', 'm.08v5y9', 'm.079jqn']",TP
a person who once lived in mansfeld would have what profession?,"[{'kb_id': 'm.016fly', 'text': 'Professor'}, {'kb_id': 'm.0266rh', 'text': 'Monk'}, {'kb_id': 'm.02kvl3l', 'text': 'Theologian'}, {'kb_id': 'm.05t4q', 'text': 'Physician'}, {'kb_id': 'm.05xjb', 'text': 'Priest'}, {'kb_id': 'm.0cbd2', 'text': 'Writer'}]","['m.02h6p1f', 'm.05t4q']",what does a man who once lived in mansfield do?,"['m.0dm2d90', 'm.02h6p1f', 'm.05t4q']",FP
santo domingo is the capital of the country with what currency?,"[{'kb_id': 'm.04lt7_', 'text': 'Dominican peso'}]","['m.06mkj', 'm.059g4', 'm.01rll_']",santo domingo is the capital of this country. what currency is used?,"['m.06mkj', 'm.0cr40_p', 'm.0ck97kd', 'm.016wzw', 'm.07ylj', 'm.0165v', 'm.0d8fc9', 'm.01p1v', 'm.0262264', 'm.0272j13', 'm.0b9wb3', 'm.0gs8ds', 'm.0bq1hc', 'm.025s3wd', 'm.09h9qk9', 'm.01bjdv', 'm.03yc7qg', 'm.0myxpqq', 'm.018jz', 'm.03ykgrz', 'm.0_3rxm3', 'm.0_3rlmv', 'm.027wvfj', 'm.0ck97bd', 'm.010xc17r', 'm.0myxyqz', 'm.04q6247', 'm.02r68pq', 'm.08nbp4', 'm.04zdc8h', 'm.0c8wxp', 'm.032j5n', 'm.012dxwhy', 'm.03ykgqs', 'm.04p_9b8', 'm.0fs1v', 'm.096g3', 'm.0hr1vj2', 'm.02r7j8b', 'm.05szhby', 'm.0n0m9yq', 'm.0ggdvk1', 'm.0svvlpv', 'm.010h0mg5', 'm.0ghbcx5', 'm.0jzv02x', 'm.0sw3qxg', 'm.04z4025', 'm.0cpkysx', 'm.0_kxmx9', 'm.0p7dmdy', 'm.0gl25zq', 'm.0svs6qn', 'm.0dh5m9t', 'm.0wkrnxq', 'm.0svv2v8', 'm.047v37l', 'm.047tppp', 'm.0wfhzbq', 'm.0wfh_7v']",TP
what does the religion who worships in barcelona cathedral call their god?,"[{'kb_id': 'm.03qsc', 'text': 'Holy Spirit'}, {'kb_id': 'm.045m1_', 'text': 'Jesus Christ'}, {'kb_id': 'm.077_fbm', 'text': 'The Father'}, {'kb_id': 'm.0d05l6', 'text': 'God'}]","['m.077_fbm', 'm.03qsc', 'm.0d05l6', 'm.045m1_', 'm.056y1t', 'm.05_6s', 'm.012lvl', 'm.02wvcg4', 'm.07lq1']",why do the religions in barcelona cathedral call their gods?,"['m.077_fbm', 'm.03qsc', 'm.0d05l6', 'm.045m1_', 'm.015j7', 'm.05ld9', 'm.05crg', 'm.01dfl']",TP
what languages are spoken in the country that has national anthem la dessaliniene?,"[{'kb_id': 'm.02dhwl', 'text': 'Haitian Creole'}, {'kb_id': 'm.064_8sq', 'text': 'French'}]",['m.05zppz'],what language do people speak in countries with the national anthem desaryan?,"['m.05zppz', 'm.0qg2zx', 'm.0btwts', 'm.0nltr96']",TP
what country do they speak portuguese where the gdp real adjusted value was once 100349905926?,"[{'kb_id': 'm.0hzlz', 'text': 'South Africa'}]","['m.015fr', 'm.0hg5', 'm.0d05w3', 'm.04wlh', 'm.0j4b', 'm.036b_', 'm.05r4w', 'm.02kcz']",which portuguese speaking country used to have a real adjusted gdp of 100349905926?,"['m.015fr', 'm.0hg5', 'm.04wlh', 'm.0j4b', 'm.0d05w3', 'm.05r4w', 'm.036b_']",TP
the person educated at chase lane primary school played for what team in 2011?,"[{'kb_id': 'm.01k2yr', 'text': 'LA Galaxy'}]","['m.02d9k', 'g.1258yxzd_']",which team did those educated at chase lane elementary school play for in 2011?,['m.02d9k'],TP
which of the seven central american countries uses the united states dollar currency?,"[{'kb_id': 'm.02k8k', 'text': 'El Salvador'}, {'kb_id': 'm.05qx1', 'text': 'Panama'}]","['m.05qx1', 'm.02k8k', 'm.03h2c', 'm.0345_', 'm.0164b', 'm.01p8s', 'm.0d04z6', 'm.05c74', 'm.04pnx', 'm.049nq', 'm.03gyl']",which of the seven central american countries uses the dollar currency?,"['m.05qx1', 'm.02k8k', 'm.03h2c', 'm.0345_', 'm.0164b', 'm.04pnx', 'm.01p8s', 'm.05c74', 'm.0d04z6', 'm.049nq', 'm.03gyl', 'm.0b90_r', 'm.09c7w0']",TP
what movies did the person who went to william o. schafer elementary school direct?,"[{'kb_id': 'm.011q46b6', 'text': 'By the Sea'}, {'kb_id': 'm.0gttw8n', 'text': 'In the Land of Blood and Honey'}, {'kb_id': 'm.0ngxp8g', 'text': 'A Place in Time'}, {'kb_id': 'm.0wjk75w', 'text': 'Unbroken'}]","['m.06wypd', 'm.0f4vbz']",who went to william o. schaeffer elementary school directed what movies?,['m.06wypd'],TP
the person who attended education institution in east whittier elementary school died where?,"[{'kb_id': 'm.02_286', 'text': 'New York City'}]","['g.1q3sf7nqf', 'm.0_sp3dv']",where did the people who attended educational institutions at east whittier primary school die?,['g.1q3sf7nqf'],TP
mike johanns was elected governor of what area that is bisected by the missouri river?,"[{'kb_id': 'm.05fhy', 'text': 'Nebraska'}]","['m.05fhy', 'm.03s0w']",mike johanns was elected governor of what part of the missouri river divides into two?,"['m.02pywxf', 'm.03s0w']",FP
what caribbean countries use the east caribbean dollar currency?,"[{'kb_id': 'm.06ryl', 'text': 'Saint Kitts and Nevis'}, {'kb_id': 'm.06s0l', 'text': 'Saint Lucia'}, {'kb_id': 'm.0n3g', 'text': 'Anguilla'}]","['m.0n3g', 'm.02phy_9', 'm.05r7t', 'm.06s0l', 'm.0162v', 'm.06ryl', 'm.0l3h', 'm.07ssc', 'm.09c7w0']",which caribbean countries use the eastern caribbean dollar currency?,"['m.0n3g', 'm.02phy_9', 'm.05r7t', 'm.06s0l', 'm.0162v', 'm.0gkyjzm', 'm.04fxlm9', 'm.04fxll2', 'm.04fxllc', 'm.04fxllq', 'm.02phz12', 'm.0l3h', 'm.04chyn', 'm.04fxll_']",TP
