Source Question,Ground Truth,Source Answer,New Question,New Answer,Inspectation Conclusion
when did landau propose his four conjectural problems?,1912,1912,when did lando raise his four conjecture questions?,no answer>,TP
who did internet2 partner with?,"The Internet2 community, in partnership with Qwest",level 3 communications,who does internet2 work with?,qwest,TP
who did internet2 partner with ?,a partnership with Level 3 Communications to launch a brand new nationwide network,level 3 communications,who does internet2 work with?,qwest,TP
abilene referred to what?,<No Answer>,no answer>,what does abilene mean?,first internet2 network,TP
abilene was a prime investor in what project?,<No Answer>,the national lambdarail (nlr) project,what project is abilin the main investor?,no answer>,TP
what does the capabilities approach look at poverty as a form of?,capability deprivation,capability deprivation,does the capacity approach treat poverty as a form of poverty?,no answer>,FP
what is the goal of the capabilities approach?,to ¡°wid[en] people¡¯s choices and the level of their achieved well-being¡±,to ¡°wid[en] people¡¯s choices and the level of their achieved well-being,what is the goal of the competency approach?,no answer>,TP
how would the capabilities approach achieve it's goal?,through increasing functionings,"through increasing functionings (the things a person values doing), capabilities (the freedom to enjoy",how will the competency approach achieve its objectives?,no answer>,TP
what is the definition of agency as it unrelates to incapabilities?,<No Answer>,no answer>,what is the definition of agent?,the ability to pursue valued goals,FP
plant cells respond to the molecules associated with pathogens known as what?,Pathogen-associated molecular patterns,pathogen-associated molecular patterns or pamps,what are the cellular responses of plants to pathogens?,individual plant cells respond to molecules associated with pathogens known as pathogen-associated mole,FP
what type of steam engine doesn't need valves to direct steam?,oscillating cylinder,an oscillating cylinder steam engine,what type of steam engine does not require valves to guide steam?,simple expansion steam engine,TP
"along with toys, where are oscillating cylinder steam engines typically used?",models,models,"in addition to toys, where do you usually use swing cylinder steam engines?",no answer>,FP
what type of steam engine doesn't need valves to direct engines?,<No Answer>,no answer>,what type of steam engine does not require valves to guide the engine?,simple expansion steam engine,TP
what causes strain in structures?,stress tensor,forces,what causes the strain of the structure?,no answer>,TP
what is the name of the river that is completely contained inside jacksonville?,The Trout River,trout river,what is the name of this river in jacksonville?,st. johns river,FP
what helped spread protestantism in france?,availability of the Bible in vernacular languages,the bible in vernacular languages,what helped the spread of protestantism in france?,the availability of the bible in vernacular languages,TP
in what country did the protestant reformation get its start?,<No Answer>,france,in which country did the protestant reform begin?,no answer>,TP
what were the towns granted to the huguenots in 1598 collectively called?,villes de s?ret¨¦,villes de s?ret¨¦,what are the general names of the towns granted to the huguenots in 1598?,66 "villes de s?ret¨¦",TP
when was this proclamation issued?,1629,1598,when was this announcement released?,no answer>,TP
what does matter actually have that newtonian mechanics doesn't address?,extended structure,extended structure,what is the unsolved problem of newtonian mechanics?,no answer>,TP
which laws mentioned predate eu law?,international law and public law,no answer>,which laws are mentioned earlier than eu laws?,international law and public law,FP
what must the adoption of laws which will have legal effect in the eu have?,a proper legal basis,a proper legal basis,what conditions must be met for the adoption of laws with legal effect in the eu?,must have a proper legal basis,TP
in what does the doctrine of legitimate expectations have roots?,the principles of legal certainty and good faith,the principles of legal certainty and good faith,what is the root of the theory of legitimate expectation?,principles of legal certainty and good faith,FP
what is not recognized as one of the general principles of european union law?,<No Answer>,no answer>,what is one of the general principles of eu law?,the concept of legal certainty,FP
how must legislation in member states which implements eu law must not be worded?,<No Answer>,no answer>,how must the legislation of member states implementing eu law be worded?,so that it is clearly understandable by those who are subject to the law,FP
who was thought to have killed tugh temur?,El Tem¨¹r,no answer>,who is believed to have killed tug temur?,el tem¨¹r,TP
who was thought to have loved tugh temur?,<No Answer>,yes¨¹n tem¨¹r,who is considered etug temur?,no answer>,FP
what do a number of researchers think a shortage of is caused in part by income inequality?,a shortage of affordable housing,affordable housing,many researchers believe that income inequality is partly the cause of labor shortage. what is it?,no answer>,FP
what decreased in number between 1984 and 1991?,quality rental units,quality rental units,how much did the number decrease between 1984 and 1991?,no answer>,FP
when did menich serve as president?,1695¨C1696,between 1975 and 1990,when did menich become president?,no answer>,TP
who has elected the president of warsaw since 1990?,the City council,the city council,who has been elected president of warsaw since 1990?,no answer>,FP
what is the mayor of menich called?,<No Answer>,no answer>,what's the mayor's name?,president,FP
what happens as they build phase 1?,they design phase 2,they design phase 2,what happens when they build the first phase?,no answer>,TP
"before they hire a contractor, what do the d&b contractors also do about a project?",<No Answer>,present different ideas,what will d & b contractors do to the project before hiring contractors?,no answer>,TP
thoreau mentions what type of person could corrupt a government system?,elite politicians,elite politicians,what kind of people thoreau mentioned would destroy the government system?,no answer>,TP
who is to blame for acting unjustly?,individuals,individuals,who is responsible for the injustice?,the individual,TP
vaginal secretions serve as a chemical protective barrier following what?,menarche,menarche,what is the role of vaginal secretions as a chemical protective barrier?,following menarche,FP
an msp may introduce a bill as what?,a private member,a private member,msf may propose a bill as what?,no answer>,TP
who may also submit private bills to parliament?,an outside proposer,outside proposer,who can also submit a private bill to parliament?,an outside proposer,TP
how do bills pass through parliament?,in a number of stages,stages,how does the bill pass parliament?,in a number of stages,TP
which khanates had not converted to islam?,<No Answer>,western,which khanate did not convert to islam?,yuan,TP
"because speakers are drawn from across scotland, what do the represent the balance of?",religious beliefs,religious beliefs,"since speakers come from all over scotland, what balance do these people represent?",balance of religious beliefs,TP
invitations to address the house of commons are determined by whom?,<No Answer>,no answer>,who decides the invitation to speak in the house of commons?,the presiding officer,TP
"despite being traditionall described as ""eight counties"", how many counties does this region actually have?",10 countries,no answer>,"although traditionally known as the ""eight counties"", how many counties are there in this area?",10,TP
what are the ties that best described what the "eight counties" are based on?,demographics and economic ties,demographics and economic,what relationship can best describe the basis of the "eight counties"?,demographics and economic ties,TP
what counties does the more extensive eight county definition of socal include?,<No Answer>,no answer>,which counties does socal's broader definition of eight counties include?,kern and san luis obispo,TP
what additional two counties make ten counties into the traditional definition of socal include?,<No Answer>,kern and san luis obispo counties,what other two counties include 10 counties in the traditional socal definition?,no answer>,TP
