Source Question,Ground Truth,Source Answer,New Question,New Answer,Inspectation Conclusion
dwarfs in snow white and the huntsman movie?,Ray Winstone,rob brydon,the dwarf in snow white and the hunter?,nick frost,TP
dwarfs in snow white and the huntsman movie?,Ray Winstone,rob brydon,the dwarf in snow white and the hunter?,nick frost,TP
when does ant and dec saturday night takeaway 2018 start?,24-Feb-18,4-Sep-18,when will the 2018 takeout start on saturday night for ant and dec?,12-Jun-18,TP
when did they put warnings on cigarette packs?,2003,1966,when do they put a warning on the cigarette package?,,TP
one problem with the free care requirement under hill-burton was that it?,no regulation,lawyers representing poor people began suing hospitals for not abiding by the law,one of the questions about the free care requirements stipulated by hill burton is:?,in perpetuity,FP
what episode of law and order svu is mike tyson in?,Monster 's Legacy,st. louis,which episode of "security svu" is mike tyson in?,,FP
land conversion through burning of biomass releases which gas?,carbon monoxide,carbon monoxide,what gases will be released by burning biomass for land conversion?,"carbon monoxide, hydrogen, and traces of methane",TP
land conversion through burning of biomass releases which gas?,carbon monoxide,carbon monoxide,what gases will be released by burning biomass for land conversion?,"carbon monoxide, hydrogen, and traces of methane",TP
land conversion through burning of biomass releases which gas?,carbon monoxide,carbon monoxide,what gases will be released by burning biomass for land conversion?,"carbon monoxide, hydrogen, and traces of methane",TP
the sum of the kinetic and potential energies of all particles in the system is called the?,internal energy,internal energy,the sum of kinetic energy and potential energy of all particles in the system is called?,mechanical energy,TP
how many volumes of darkwing duck are there?,six volumes,6,how many black ducks are there?,3,FP
how many states in the us have the death penalty 2018?,31,30,how many states in the united states were sentenced to death in 2018?,no answer>,FP
what brings in more money nba or nfl?,National Football League,national basketball association,what makes the nba or nfl make more money?,salary cap,FP
what is the american indian name for mount rushmore?,The Six Grandfathers,mount crazy horse,what is the indian name of mount rushmore?,cougar mountain,FP
name of bad witch on wizard of oz?,Wicked Witch of the West,wicked witch of the west,the name of the bad witch in the wizard of oz?,the wicked witch of the west,TP
when did dodge caravan start stow and go?,2005,2004,when did the dodge caravan start to pack up and set out?,1-Jun-00,TP
what part of the carrot is the seed?,mericarp,commissural side,which part of a carrot is a seed?,mericarps,TP
where did the practice of baptism come from?,Tevilah,the 1st - century christians,where does baptism come from?,greek,FP
when were the cherokees forced to move west?,1831 -- 1850,1836 and 1839,when were the cherokees forced to move westward?,1838 ¨C 1839,TP
who played stands with fists in dances with wolves?,Mary Eileen McDonnell,mary eileen mcdonnell,who punched the stands while dancing with wolves?,kevin costner,FP
one hundred thousand is equal to how many lakhs?,one,1,how much is 100000?,one million,FP
the most common type of rock in earth's crust is?,igneous,igneous,what is the most common rock type in the earth's crust?,volcanic rocks,TP
what is the meaning of the name apoorva?,new,mighty,what does the name apoorva mean?,'',TP
what is the meaning of the name apoorva?,new,mighty,what does the name apoorva mean?,'',TP
what is the meaning of the name apoorva?,new,mighty,what does the name apoorva mean?,'',TP
who sang the original devil went down to georgia?,Charlie Daniels Band,charlie daniels,who sang the original book of "the devil under georgia"?,johnny cash,TP
what is the name of the time zone for london?,Europe / London,utc,what is the time zone in london?,greenwich mean time,TP
when does batman gotham by gaslight come out?,12-Jan-18,2018,when will batman gotham be published?,12-Jan-18,TP
jaguar is the national animal of which country?,Mexico,mexico,which national animal is jaguar?,cat,FP
who played in the 2017 nfc championship game?,Minnesota Vikings,philadelphia eagles,who participated in the 2017 nfc championship?,minnesota,TP
who played in the 2017 nfc championship game?,Minnesota Vikings,philadelphia eagles,who participated in the 2017 nfc championship?,minnesota,TP
what season does meredith and derek get married in grey's anatomy?,season seven,fifth season,when did meredith and derek get married in gray's anatomy?,the conclusion of the fifth season,FP
who has scored most runs in t20 international matches?,Brendon McCullum,martin guptill,who scored the most in the t20 international competition?,chris gayle,TP
what are the different levels of court in australia?,Intermediate courts,the supreme court,what are the different levels of courts in australia?,the high court,TP
what are the different levels of court in australia?,Intermediate courts,the supreme court,what are the different levels of courts in australia?,the high court,TP
what are the different levels of court in australia?,Intermediate courts,the supreme court,what are the different levels of courts in australia?,the high court,TP
what are the different levels of court in australia?,Intermediate courts,the supreme court,what are the different levels of courts in australia?,the high court,TP
what are the different levels of court in australia?,Intermediate courts,the supreme court,what are the different levels of courts in australia?,the high court,TP
what muscles attach to medial border of scapula?,rhomboid major,trapezius,what muscle is attached to the medial edge of the scapula?,subscapularis,TP
what muscles attach to medial border of scapula?,rhomboid major,trapezius,what muscle is attached to the medial edge of the scapula?,subscapularis,TP
what muscles attach to medial border of scapula?,rhomboid major,trapezius,what muscle is attached to the medial edge of the scapula?,subscapularis,TP
what muscles attach to medial border of scapula?,rhomboid major,trapezius,what muscle is attached to the medial edge of the scapula?,subscapularis,TP
where was the movie august osage county filmed?,"Bartlesville and Pawhuska , Oklahoma","bartlesville and pawhuska, oklahoma",where was the film made in august osage county?,"pawhuska, oklahoma",FP
where was the movie august osage county filmed?,"Bartlesville and Pawhuska , Oklahoma","bartlesville and pawhuska, oklahoma",where was the film made in august osage county?,"pawhuska, oklahoma",FP
what religion are they in call the midwife?,Anglican,anglican,why do they call midwives religious?,midwives are believed to be assigned their profession from god,FP
where are most of your taste buds located on your tounge?,papillae,upper surface,where are most of your taste buds?,upper surface of the tongue,FP
when was the first percy jackson book published?,1-Jul-05,1-Jul-05,when was percy jackson's first book published?,2005,TP
when did the knicks win their last championship?,1973,1973,when was the last time the knicks won the championship?,1999,TP
who made communication by wireless telegraphy for the first time?,Carl August,alexander graham bell,who first communicated by radiotelegraph?,amos dolbear,TP
who is magic in blood in blood out?,Victor Rivers,a cellmate,who is the devil in blood?,etrigan,FP
who does wil wheaton play in stand by me?,Gordie Lachance,gordie lachance,who does wilburton play in support of me?,izzie,FP
who was the lead actor in movie toile ek prem katha?,Akshay Kumar,bobby simha,who is the hero in the film coolie?,sanjay leela bhansali,FP
who goes first in chess black or white?,White,white,who plays black and white first?,black,FP
connection between knocked up and this is 40?,spin - off sequel,this is 40,is there a link between pregnancy and 40?,yes,TP
who used to be on the five on fox?,Jesse Watters,sarah solemani,who was on fox channel five?,slade,FP
who used to be on the five on fox?,Jesse Watters,sarah solemani,who was on fox channel five?,slade,FP
who used to be on the five on fox?,Jesse Watters,sarah solemani,who was on fox channel five?,slade,FP
who used to be on the five on fox?,Jesse Watters,sarah solemani,who was on fox channel five?,slade,FP
who used to be on the five on fox?,Jesse Watters,sarah solemani,who was on fox channel five?,slade,FP
