Source Question,Ground Truth,Source Answer,New Question,New Answer,Inspectation Conclusion
are the ryman and grand ole opry the same thing?,yes,no,are the ryman and idealistic ole opry the same thing?,yes,TP
is season five the last season of the originals?,yes,yes,is season five the last-place season of the originals?,no,TP
is living at high altitude good for you?,no,no,is living at gamy altitude beneficial for you?,yes,FP
are diary of a wimpy kid books graphic novels?,no,no,are diary of a wimpish kid books in_writing novels?,yes,TP
was the movie strangers based on a true story?,yes,yes,was the movie strangers based on a unfeigned story?,no,TP
was all in the family filmed in front of a live audience?,yes,yes,was all in the family filmed in front of a hot audience?,no,TP
is the sears tower still the tallest building?,no,no,is the sears tower still the tall building?,yes,TP
do female and male blue jays look the same?,yes,yes,do distaff and virile dreary jays look the same?,no,TP
is an australian cattle dog the same as a blue heeler?,yes,yes,is an australian cattle dog the same as a down heeler?,no,FP
do competitive inhibitors bind to the active site?,yes,yes,do competitory inhibitors bind to the fighting site?,no,TP
does heathrow terminal 5 have an underground station?,yes,yes,does heathrow terminal 5 have an clandestine station?,no,FP
is the cremaster muscle in the spermatic cord?,no,yes,is the cremaster muscle in the spermous cord?,no,TP
is the movie gone baby gone a true story?,no,no,is the movie gone baby gone a truthful story?,yes,TP
is the last king of scotland historically accurate?,no,yes,is the final king of scotland historically precise?,no,TP
is there a 3rd season of berlin station?,yes,yes,is there a third season of berlin station?,no,TP
did they use a real leopard in bringing up baby?,yes,no,did they use a tangible leopard in bringing up baby?,yes,TP
is round of 16 world cup single elimination?,yes,yes,is rotund of 16 world cup individual elimination?,no,TP
is real feel the same as heat index?,yes,yes,is veridical feel the same as heat index?,no,TP
is a football field equal to an acre?,no,no,is a football field adequate to an acre?,yes,TP
is manic depression the same as bi polar?,yes,yes,is frenzied depression the same as bi arctic?,no,TP
is the derivative of a continuous function always continuous?,no,yes,is the derivative of a uninterrupted function always uninterrupted?,no,TP
have any of the school shootings been at private schools?,yes,yes,have any of the school shootings been at secret schools?,no,TP
does the handsome jack collection come with all dlc?,yes,yes,does the bighearted jack collection come with all dlc?,no,FP
does the mlb all star game go into extra innings?,yes,yes,does the mlb all star game go into excess innings?,no,TP
is there a red light district in brussels?,yes,yes,is there a ruddy lightsome district in brussels?,no,TP
is the southern tip of south america cold?,yes,no,is the southerly tip of south america cold?,yes,TP
can a 3d printer print a real gun?,yes,no,can a 3d printer print a tangible gun?,yes,TP
is fear the walking dead different than the walking dead?,yes,yes,is fear the walking dead dissimilar than the walking all_in?,no,TP
was the soviet union part of the allied powers?,yes,yes,was the soviet union part of the confederate powers?,no,TP
does mercury stay a constant distance from the sun year after year?,yes,yes,does mercury stay a perpetual distance from the sun year after year?,no,TP
is nitric oxide and nitrous oxide the same?,no,no,is azotic oxide and azotic oxide the same?,yes,TP
is cape fear based on a true story?,no,no,is cape fear based on a dependable story?,yes,TP
is elderflower cordial the same as elderflower syrup?,no,no,is elderflower affable the same as elderflower syrup?,yes,TP
do the internal intercostal muscles contract during inspiration?,yes,no,do the intragroup intercostal muscles contract during inspiration?,yes,TP
is fargo tv show based on a true story?,no,no,is fargo tv show based on a truthful story?,yes,TP
is the film changeling based on a true story?,yes,yes,is the film changeling based on a reliable story?,no,TP
is red velvet cake chocolate cake with red dye?,yes,yes,is reddened velvet cake chocolate cake with reddened dye?,no,TP
is universal music group part of universal studios?,no,yes,is general music group part of cosmopolitan studios?,no,TP
is social studies and geography the same thing?,no,no,is societal studies and geography the same thing?,yes,TP
is universal healthcare the same as socialized medicine?,yes,yes,is general healthcare the same as socialized medicine?,no,TP
do you capitalize elements of the periodic table?,no,yes,do you capitalize elements of the periodical table?,no answer>,TP
was everything everything based on a true story?,no,no,was everything everything based on a truthful story?,yes,TP
is the standard error the same as standard deviation?,yes,yes,is the received error the same as received deviation?,no,FP
does maple syrup come out of the tree sweet?,yes,yes,does maple syrup come out of the tree cherubic?,no,TP
do they light up the twin towers every night?,yes,no,do they light up the twinned towers every night?,yes,TP
does the united states have a federal system of government?,yes,yes,does the united states have a union system of government?,no,TP
is it rare to have 6 wisdom teeth?,yes,no,is it rarefied to have 6 wisdom teeth?,yes,TP
