Source Question,Ground Truth,Source Answer,Extra Information,Target Answer,New Question,New Answer,Semantic Similarity Score - Detail,Average,Inspection Conclusion
Who decides the fate of protesters most of the time?,the state,the state (including the judges),It is a matter for the state (including the judges) to decide on utilitarian grounds whether to do so or not.",yes,Is it a matter for the person decides the fate of protesters most of the time to decide on utilitarian grounds whether to do so or not.?,it is a matter for the state (including the judges),0.4312805,[0.4312805],NA
What is the obligation of a pharmacy filling a prescription?,to ensure that the prescription is valid,to ensure that the prescription is valid,The filling pharmacy has a corresponding responsibility to ensure that the prescription is valid.,yes,Does the filling pharmacy have a corresponding responsibility the obligation of a pharmacy filling a prescription?,the filling pharmacy has a corresponding responsibility to ensure that the prescription is valid,0.39065883,[0.39065883],NA
What did Gou use for science?,<No Answer>,cubic interpolation formula,Gou derived a cubic interpolation formula for his astronomical calculations.,yes,Did gou derive a thing Gou use for science for his astronomical calculations?,cubic interpolation formula,0.2590868,[0.2590868],SA
What was a popular type of variety show during the Yuan?,zaju,zaju,One of the key factors in the mix of the zaju variety show was the incorporation of poetry both classical and of the newer qu form.,yes,Was one of the key factors in the mix of the a popular type of variety show during the Yuan variety show the incorporation of poetry both classical and of the newer qu form?,no answer>,0.59921396,[0.59921396],NA
What do professional athletes seek to boost from breathing oxygen?,performance,performance,Available studies support a performance boost from enriched O 2 mixtures only if they are breathed during aerobic exercise.,yes,Do available studies support a thing professional athletes seek to boost from breathing oxygen boost from enriched O 2 mixtures only if they are breathed during aerobic exercise?,performance,0.20952319,[0.20952319],NA
What kind of people attend the IPCC meetings?,government officials and climate change experts,government officials and climate change experts,Attendance at the 2003 meeting included 350 government officials and climate change experts.,yes,Did attendance at the 2003 meeting include 350 the kind of people attend the IPCC meetings?,government officials and climate change experts,0.34597343,[0.34597343],NA
What compounds can be masked with the molecules of the host cell in order for a virus to evade detection?,antigens,antigens,These frequent changes in antigens may explain the failures of vaccines directed at this virus.,yes,May these frequent changes in the compounds be masked with the molecules of the host cell in order for a virus to evade detection explain the failures of vaccines directed at this virus?,no answer>,0.59921396,[0.59921396],NA
What are engines using four expansion cylinders known as?,<No Answer>,quadruple expansion engines,Such engines use either three or four expansion stages and are known as triple and quadruple expansion engines respectively.,yes,Do such engines use either three or four expansion stages and are known as triple and engines using four expansion cylinders known as respectively?,quadruple expansion engines,0.29664078,[0.29664078],FP
What substance is used to make high quality liquid O2?,liquefied air,fractional distillation of liquefied air,High-purity liquid O 2 is usually obtained by the fractional distillation of liquefied air.,yes,Is high - purity liquid O 2 obtained by the substance is used to make high quality liquid O2?,fractional distillation,0.22228728,[0.22228728],SA
What device's use represented the last major evolution of the generator?,<No Answer>,steam turbines,The final major evolution of the steam engine design was the use of steam turbines starting in the late part of the 19th century.,yes,Was the final major evolution of the steam engine design the use of device's use represented the last major evolution of the generator starting in the late part of the 19th century?,steam turbines,0.22052798,[0.22052798],SA
What is notable about the Amazon forest when it is seen from space?,areas cleared of forest are visible to the naked eye,deforestation,The main sources of deforestation in the Amazon are human settlement and development of the land.,yes,Are the main sources of notable about the Amazon forest when it is seen from space in the Amazon human settlement and development of the land?,deforestation,0.2002027,[0.2002027],SA
What are dart frogs are known to secrete?,lipophilic alkaloid toxins,lipophilic alkaloid toxins,Various species of poison dart frogs secrete lipophilic alkaloid toxins through their flesh.,yes,Do various species of poison dart frogs secrete the thing known to secrete through their flesh?,lipophilic alkaloid toxins,0.22196311,[0.22196311],NA
Which plateau is the left part of Warsaw on?,moraine,moraine plateau,The left one is situated both on the moraine plateau (10 to 25 m (32.8 to 82.0 ft) above Vistula level) and on the Vistula terraces (max.,yes,Is the left one situated both on the plateau that is the left part of Warsaw on (10 to 25 m (32.8 to 82.0 ft) above Vistula level) and on the Vistula terraces (max?,6.5 m (21.3 ft) above vistula level,0.26863733,[0.26863733],FP
What do petrologists use electron microprobes in the laboratory for?,identifying rocks,identifying rocks,Two of the primary methods for identifying rocks in the laboratory are through optical microscopy and by using an electron microprobe.,yes,Are two of the primary methods for the thing petrologists use electron microprobes in the laboratory for in the laboratory through optical microscopy and by using an electron microprobe?,identifying rocks,0.21639702,[0.21639702],NA
What type of number generators make use of prime numbers?,pseudorandom number generators,pseudorandom,Prime numbers are also used for hash tables and pseudorandom number generators.,yes,Are prime numbers used for hash tables and the type of number generators make use of prime numbers number generators?,pseudorandom,0.24313745,[0.24313745],SA
What would be lower if there were fewer people?,emissions per person,environmental degradation,Also note that the whole of the increase in environmental degradation is the result of the increase of emissions per person being multiplied by a multiplier.,yes,Do also note that the whole of the increase in the thing would be lower if there were fewer people is the result of the increase of emissions per person being multiplied by a multiplier?,environmental degradation,0.23338734,[0.23338734],NA
Where does heat rejection occur in the Rankine cycle?,in the condenser,the condenser,In this cycle a pump is used to pressurize the working fluid which is received from the condenser as a liquid not as a gas.,yes,Is in this cycle a pump used to pressurize the working fluid which is received from the location heat rejection occur in the Rankine cycle as a liquid not as a gas?,a pump is used to pressurize the working fluid,0.29772028,[0.29772028],NA
What changes macroscopic closed system energies?,nonconservative forces,nonconservative forces,The connection between macroscopic nonconservative forces and microscopic conservative forces is described by detailed treatment with statistical mechanics.,yes,Is the connection between macroscopic thing changes macroscopic closed system energies and microscopic conservative forces described by detailed treatment with statistical mechanics?,no answer>,0.59921396,[0.59921396],NA
What is the estimate of how many physicians give out drugs on their own?,7 to 10 percent,7 to 10 percent,7 to 10 percent of American physicians practices reportedly dispense drugs on their own.,yes,Do the estimate of how many physicians give out drugs on their own of American physicians practices reportedly dispense drugs on their own?,7 to 10 percent,0.27922037,[0.27922037],FP
What helps to unleash the productivity ability of the poor?,education,education,An important factor in the creation of inequality is variation in individuals' access to education.,yes,Is an important factor in the creation of inequality variation in individuals' access to the thing helps to unleash the productivity ability of the poor?,no answer>,0.59921396,[0.59921396],NA
"What commonality do alternate machine models, such as random access machines, share with Turing machines?",the machines operate deterministically,machines operate deterministically,What all these models have in common is that the machines operate deterministically.,yes,"Is what all these models have in common that the commonality alternate machine models, such as random access machines, share with Turing machines?",the machines operate deterministically,0.30004996,[0.30004996],NA
What has crime rate been show to be correlated with in a society?,inequality,inequality,Daly et al. 2001 found that among U.S States and Canadian Provinces there is a tenfold difference in homicide rates related to inequality.,yes,Did daly et al . 2001 find that among U.S States and Canadian Provinces there is a tenfold difference in homicide rates related to the thing crime rate been show to be correlated with in a society?,inequality,0.2957548,[0.2957548],NA
What schools do preparatory schools prepare British children to attend?,public,public schools,Preparatory schools in the UK prepare pupils aged up to 13 years old to enter public schools.,yes,Do preparatory schools in the UK prepare pupils aged up to 13 years old to enter the schools preparatory schools prepare British children to attend?,public schools,0.24372828,[0.24372828],NA
What do clinical pharmacists often participate in?,patient care rounds drug product selection,patient care rounds drug product selection,They often participate in patient care rounds drug product selection.,yes,Do they often participate in the thing clinical pharmacists often participate in?,patient care rounds drug product selection,0.2953045,[0.2953045],FP
What military impact did Huguenot immigration have on Frederick's army?,Huguenots furnished two new regiments,two new regiments,The Huguenots furnished two new regiments of his army: the Altpreu?ische Infantry Regiments No. 13 (Regiment on foot Varenne) and 15 (Regiment on foot Wylich).,yes,Did the Huguenots furnish the military impact Huguenot immigration have on Frederick's army of his army: the Altpreu?ische Infantry Regiments No . 13 (Regiment on foot Varenne) and 15 (Regiment on foot Wylich)?,the huguenots furnished two new regiments,0.3316796,[0.3316796],SA
What social construct did Huguenot refugees in Canterbury practice?,economic separation,economic separation,Such economic separation was the condition of the refugees' initial acceptance in the City.,yes,Was such social construct did Huguenot refugees in Canterbury practice the condition of the refugees' initial acceptance in the City?,economic separation,0.24569346,[0.24569346],NA
What is the term of office for each house member?,four years,four years,Elections for the Victorian Parliament are now fixed and occur in November every four years.,yes,Are elections for the Victorian Parliament fixed and occur in November every term of office for each house member?,no answer>,0.59921396,[0.59921396],NA
What was thought to decide a person's behavior?,the environment in which they lived,environment,It was believed that a certain person's behaviours were determined by the environment in which they lived and thus validated their domination.,yes,Was it believed that a certain person's behaviours were determined by the thing thought to decide a person's behavior in which they lived and thus validated their domination?,environment,0.31287977,[0.31287977],FP
What type of civil disobedience is commonly accepted?,non-violent,refraining from violence,Civil disobedients' refraining from violence is also said to help preserve society's tolerance of civil disobedience.,yes,Is civil disobedients' the type of civil disobedience is commonly accepted said to help preserve society's tolerance of civil disobedience?,refraining from violence,0.28510195,[0.28510195],SA
What is the most elemental way to test the primality of any integer n?,trial division,trial division,This routine can be implemented more efficiently if a complete list of primes up to is known〞then trial divisions need to be checked only for those m that are prime.,yes,Be this routine can implemented more efficiently if a complete list of primes up to is known 〞 then the is the most elemental way test the primality of any integer ns need to be checked only for those m that are prime?,trial division,0.26463583,[0.26463583],NA
What type of professional is a Pharmacy Technician considered to be?,health care professional,health care professional,The GPhC is the governing body for pharmacy health care professionals and this is who regulates the practice of pharmacists and pharmacy technicians.,yes,Is the GPhC the governing body for pharmacy the type of professional that is a Pharmacy Technician considered to bes and this is who regulates the practice of pharmacists and pharmacy technicians?,health care professionals,0.27476963,[0.27476963],NA
What does increasing inequality harm?,economic growth,economic growth,Policies aiming at controlling unemployment and in particular at reducing its inequality-associated effects support economic growth.,yes,Do policies aiming at controlling unemployment and in particular at reducing its inequality - associated effects support the thing increasing inequality harm?,economic growth,0.24569346,[0.24569346],NA
What is the most elemental way to test the primality of any integer n?,trial division,trial division,The most basic method of checking the primality of a given integer n is called trial division.,yes,Is the most basic method of checking the primality of a given integer n called the is the most elemental way test the primality of any integer n?,trial division,0.26463583,[0.26463583],FP
What schools do preparatory schools prepare British children to attend?,public,public schools,Some of these are also known as public schools.,yes,Are some of these known as the schools preparatory schools prepare British children to attend?,no answer>,0.59921396,[0.59921396],NA
What has crime rate been show to be correlated with in a society?,inequality,inequality,Among comments in academic literature on the relationship between homicides and inequality are:,yes,Are among comments in academic literature on the relationship between homicides and the thing crime rate been show to be correlated with in a society?,inequality,0.2957548,[0.2957548],FP
What is the type of oxygen production for emergency oxygen in airlines?,chemical,exothermic reaction,A steady stream of oxygen gas is then produced by the exothermic reaction.,yes,Is a steady stream of oxygen gas produced by the type of oxygen production for emergency oxygen in airlines?,exothermic reaction,0.34011966,[0.34011966],SA
What is the income inequality gap between genders in Botswana?,53%,53%,The income gap in other countries ranges from 53% in Botswana to -40% in Bahrain.,yes,Does the income gap in other countries range from the income inequality gap between genders in Botswana in Botswana to -40% in Bahrain?,53%,0.17182884,[0.17182884],FP
What ruined Richard's plans to reach Acre?,a storm,a storm,But a storm dispersed the fleet.,yes,Did but the thing ruined Richard's plans to reach Acre disperse the fleet?,a storm,0.19636026,[0.19636026],NA
What body in India provides policy directions to schools?,union government,union government,It is within the power of both the union government and the state governments to govern schools since Education appears in the Concurrent list of legislative subjects in the constitution.,yes,Is it within the power of both the body in India provides policy directions to schools and the state governments to govern schools since Education appears in the Concurrent list of legislative subjects in the constitution?,it is within the power of both the union government and the state governments to govern schools,0.31648368,[0.31648368],NA
What has been the main reason for the shift to the view that income inequality harms growth?,increasing importance of human capital in development,increasing importance of human capital in development,The main reason for this shift is the increasing importance of human capital in development.,yes,Is the main reason for this shift the thing been the main reason for the shift to the view that income inequality harms growth?,the increasing importance of human capital in development,0.3084057,[0.3084057],NA
What is the basic unit of territorial division in Poland?,a commune,a commune,A city is also a commune 每 but with the city charter.,yes,Is a city also the basic unit of territorial division in Poland 每 but with the city charter?,a city is also a commune,0.3662192,[0.3662192],NA
What was the percentage of people that voted in favor of the Pico Act of 1859?,75,nearly 75%,It was approved overwhelmingly by nearly 75% of voters in the proposed Territory of Colorado.,yes,Was it approved overwhelmingly by the percentage of people that voted in favor of the Pico Act of 1859 of voters in the proposed Territory of Colorado?,nearly 75%,0.2629283,[0.2629283],NA
What feature will enrich the the pedestrian friendly environment after restoration?,wide sidewalks,wide sidewalks,The public art pieces will be restored and placed near their current locations and will feature wide sidewalks (up to 28' on the east side of the street) to continue with the pedestrian friendly environment of the district.,yes,Be the public art pieces will restored and placed near their current locations and will feature the feature enrich the the pedestrian friendly environment after restoration (up to 28' on the east side of the street) to continue with the pedestrian friendly environment of the district?,wide sidewalks,0.29374105,[0.29374105],NA
Where does heat rejection occur in the Rankine cycle?,<No Answer>,the condenser,In this cycle a pump is used to pressurize the working fluid which is received from the condenser as a liquid not as a gas.,yes,Is in this cycle a pump used to pressurize the working fluid which is received from the location heat rejection occur in the Rankine cycle as a liquid not as a gas?,a pump is used to pressurize the working fluid,0.29772028,[0.29772028],SA
What is the most abundant mass element in the Earth's biosphere?,<No Answer>,oxygen,About 0.9% of the Sun's mass is oxygen.,yes,Is about 0.9% of the Sun's mass most abundant mass element in the Earth's biosphere?,oxygen,0.21904242,[0.21904242],SA
When is the earliest Britain had an imperialist policy?,the sixteenth century,the sixteenth century,Britain's imperialist ambitions can be seen as early as the sixteenth century.,yes,Be britain's imperialist ambitions can seen as early as the earliest Britain had an imperialist policy?,the sixteenth century,0.27770665,[0.27770665],NA
When did building activity in the palaces and churches take place in the later decades of?,17th century,17th century,Building activity occurred in numerous noble palaces and churches during the later decades of the 17th century.,yes,Did building activity occur in numerous noble palaces and churches during the later decades of the time building activity in the palaces and churches take place in the later decades of?,17th century,0.27770665,[0.27770665],NA
What is another word for xenoliths?,<No Answer>,igneous rocks,A similar situation with igneous rocks occurs when xenoliths are found.,yes,Does a similar situation with another word for xenoliths occur when xenoliths are found?,igneous,0.17778157,[0.17778157],SA
What function do compounds like phenol and acetone serve in the manufacture of many other substances?,feeder materials,feeder materials,Acetone ((CH 3) 2CO) and phenol (C 6H 5OH) are used as feeder materials in the synthesis of many different substances.,yes,Are acetone ((CH 3) 2CO) and phenol (C 6H 5OH) used as the function compounds like phenol and acetone serve in the manufacture of many other substances in the synthesis of many different substances?,feeder materials,0.23055802,[0.23055802],NA
What type of rock is found at the Grand Canyon?,sedimentary rocks,sedimentary,The sedimentary sequences of the mid-continental United States and the Grand Canyon in the southwestern United States contain almost-undeformed stacks of sedimentary rocks that have remained in place since Cambrian time.,yes,Do the type of rock is found at the Grand Canyon sequences of the mid - continental United States and the Grand Canyon in the southwestern United States contain almost - undeformed stacks of type of rock is found at the Grand Canyon rocks that have remained in place since Cambrian time?,sedimentary rocks,0.21639702,[0.21639702],SA
What is a major importance of Southern California in relation to California and the United States?,economic center,economic center,Southern California is a major economic center for the state of California and the United States.,yes,Is southern California a major a major importance of Southern California in relation to California and the United States for the state of California and the United States?,economic center,0.24569346,[0.24569346],FP
What are pharmacists in the United Kingdom being increasingly paid for?,medicine use reviews,medicine use reviews,They are also being paid for by the government for medicine use reviews.,yes,Does they are also being pay for by the government for the thing paid for?,medicine use reviews,0.3360079,[0.3360079],FP
What are environmentalists concerned about having released from the Amazon region?,carbon contained within the vegetation,carbon,Amazonian evergreen forests account for about 10% of the world's terrestrial primary productivity and 10% of the carbon stores in ecosystems〞of the order of 1.1 ℅ 1011 metric tonnes of carbon.,yes,Do amazonian evergreen forests account for about 10% of the world's terrestrial primary productivity and 10% of the environmentalists concerned about having released from the Amazon region stores in ecosystems 〞 of the order of 1.1 ℅ 1011 metric tonnes of environmentalists concerned about having released from the Amazon region?,no answer>,0.59921396,[0.59921396],SA
What concept did philosophers in antiquity use to study simple machines?,force,force,Most of the previous misunderstandings about motion and force were eventually corrected by Galileo Galilei and Sir Isaac Newton.,yes,Were most of the previous misunderstandings about motion and the concept did philosophers in antiquity use to study simple machines corrected by Galileo Galilei and Sir Isaac Newton?,force,0.27045658,[0.27045658],NA
What is the process of removing trees from a forest known as?,Deforestation,deforestation,These farming practices led to deforestation and caused extensive environmental damage.,yes,Did these farming practices lead to the process of removing trees from a forest known as and caused extensive environmental damage?,deforestation,0.2002027,[0.2002027],NA
What are environmentalists concerned about having released from the Amazon region?,carbon contained within the vegetation,carbon,Amazonian forests are estimated to have accumulated 0.62 ㊣ 0.37 tons of carbon per hectare per year between 1975 and 1996.,yes,Are amazonian forests estimated to have accumulated 0.62 ㊣ 0.37 tons of environmentalists concerned about having released from the Amazon region per hectare per year between 1975 and 1996?,carbon,0.21999215,[0.21999215],NA
What do the top 400 richest Americans have more of than half of all Americans combined?,wealth,wealth,Inherited wealth may help explain why many Americans who have become rich may have had a "substantial head start".,yes,May inherited the thing the top 400 richest Americans have more of than half of all Americans combined help explain why many Americans who have become rich may have had a " substantial head start "?,wealth,0.21961921,[0.21961921],NA
What combined with ricing prices to make it difficult or impossible for poor people to keep pace?,ad valorem property tax policy,ad valorem property tax policy,The ad valorem property tax policy combined with rising prices made it difficult or impossible for low income residents to keep pace.,yes,Did the thing combined with ricing prices to make it difficult or impossible for poor people to keep pace combined with rising prices make it difficult or impossible for low income residents to keep pace?,difficult or impossible,0.43553627,[0.43553627],NA
What is the process of removing trees from a forest known as?,Deforestation,deforestation,The main sources of deforestation in the Amazon are human settlement and development of the land.,yes,Are the main sources of the process of removing trees from a forest known as in the Amazon human settlement and development of the land?,deforestation,0.2002027,[0.2002027],NA
What is an example of an immunosuppressive drug that prevents T cell activity by altering signal transduction pathways?,cyclosporin,cyclosporin,Immunosuppressive drugs such as cyclosporin prevent T cells from responding to signals correctly by inhibiting signal transduction pathways.,yes,Do immunosuppressive drugs such as an example of an immunosuppressive drug that prevents T cell activity by altering signal transduction pathways prevent T cells from responding to signals correctly by inhibiting signal transduction pathways?,cyclosporin,0.12991576,[0.12991576],FP
What is the logic behind the cicadas prime number evolutionary strategy?,make it very difficult for predators to evolve that could specialize as predators,the prime number intervals between emergences make it very difficult for predators to evolve,The logic for this is believed to be that the prime number intervals between emergences make it very difficult for predators to evolve that could specialize as predators on Magicicadas.,yes,Is the logic for this believed to be that the logic behind the cicadas prime number evolutionary strategy that could specialize as predators on Magicicadas?,no answer>,0.59921396,[0.59921396],FP
What may be presented to Parliament in various ways?,Bills,bills,Most draft laws are government bills introduced by ministers in the governing party.,yes,Are most draft laws government the thing may be presented to Parliament in various ways introduced by ministers in the governing party?,government bills,0.26466188,[0.26466188],NA
What is a main duty of the GPhC?,regulates the practice of pharmacists and pharmacy technicians,regulates the practice of pharmacists and pharmacy technicians,The GPhC is the governing body for pharmacy health care professionals and this is who regulates the practice of pharmacists and pharmacy technicians.,yes,Is the GPhC the governing body for pharmacy health care professionals and this is who a main duty of the GPhC?,regulates the practice of pharmacists and pharmacy technicians,0.282473,[0.282473],FP
What impacts distribution of wealth when evaluating labor?,different classifications of workers,differences in value added,Within labor income distribution is due to differences in value added by different classifications of workers.,yes,Is within labor income distribution due to the thing impacts distribution of wealth when evaluating labor by different classifications of workers?,differences in value added,0.3245372,[0.3245372],NA
What did the Polish citizens understand the subtext of John Paul II's words to be?,incentive for the democratic changes,the incentive for the democratic changes,These words were very meaningful for the Polish citizens who understood them as the incentive for the democratic changes.,yes,Were these words very meaningful for the Polish citizens who understood them as the thing the Polish citizens understand the subtext of John Paul II's words to be?,the incentive for the democratic changes,0.30663133,[0.30663133],FP
What does the current high level of population have a large impact on?,environmental degradation,environmental degradation,Also note that the whole of the increase in environmental degradation is the result of the increase of emissions per person being multiplied by a multiplier.,yes,Do also note that the whole of the increase in the thing the current high level of population have a large impact on is the result of the increase of emissions per person being multiplied by a multiplier?,environmental degradation,0.23338734,[0.23338734],NA
What type of forested areas can be found on the highest terrace?,pine,pine forest,These are mainly forested areas (pine forest).,yes,Are these mainly forested areas (the type of forested areas can be found on the highest terrace)?,pine forest,0.16033447,[0.16033447],SA
What is needed to pack electrons densely together?,energy,energy,This means that it takes energy to pack them together.,yes,Does this mean that it takes the thing needed to pack electrons densely together to pack them together?,energy,0.17417209,[0.17417209],FP
What is the process of vaccination also known as?,immunization,immunization,The principle behind vaccination (also called immunization),yes,Did the principle behind vaccination (also call the process of vaccination also known as?,immunization,0.15179686,[0.15179686],NA
When are some juvenile plankton able to do before becoming an adult?,<No Answer>,reproduction,The combination of hermaphroditism and early reproduction enables small populations to grow at an explosive rate.,yes,Does the combination of hermaphroditism and early are some juvenile plankton able do before becoming an adult enable small populations to grow at an explosive rate?,reproduction,0.20867059,[0.20867059],SA
What does a U.S. census report state that even after other factors there still exists this between earnings of men and women?,a difference,difference,A U.S. Census's report stated that in US once other factors are accounted for there is still a difference in earnings between women and men.,yes,Did a U.S. Census's report state that in US once other factors are accounted for there is still a thing does a U.S. census report state that even after other factors there still exists this between earnings of men and women in earnings between women and men?,difference,0.38760468,[0.38760468],FP
What term is shorthand for antibody generators?,antigens,antigens,One class of non-self molecules are called antigens (short for antibody generators) and are defined as substances that bind to specific immune receptors and elicit an immune response.,yes,Are one class of non - self molecules called the term that is shorthand for antibody generators (short for antibody generators) and are defined as substances that bind to specific immune receptors and elicit an immune response?,antigens,0.07861497,[0.07861497],FP
What equipment is used to identify individual crystals?,<No Answer>,electron microprobe,Two of the primary methods for identifying rocks in the laboratory are through optical microscopy and by using an electron microprobe.,yes,Are two of the primary methods for identifying rocks in the laboratory through optical microscopy and by using an equipment is used to identify individual crystals?,no answer>,0.59921396,[0.59921396],SA
Which gender is more populous across all groups in Jacksonville?,females,females,For every 100 females there were 94.1 males.,yes,Were for every 100 the gender that is more populous across all groups in Jacksonville there 94.1 males?,females,0.23316495,[0.23316495],NA
What is Thomas B. Edsall's profession?,journalist,journalist,The debate is summarized in "The Hidden Prosperity of the Poor" by journalist Thomas B. Edsall.,yes,Is the debate summarized in " The Hidden Prosperity of the Poor " by Thomas B. Edsall's profession Thomas B. Edsall?,journalist,0.27170676,[0.27170676],FP
What aspect of Western medicine did the Chinese dislike?,its humoral system,humoral system,Chinese physicians opposed Western medicine because its humoral system contradicted the yin-yang and wuxing philosophy underlying traditional Chinese medicine.,yes,Did chinese physicians oppose Western medicine because its the aspect of Western medicine did the Chinese dislike contradicted the yin - yang and wuxing philosophy underlying traditional Chinese medicine?,humoral,0.18577443,[0.18577443],NA
What is the general term used to describe the output to any given input in a problem instance?,solution,the solution,The instance is a number (e.g. 15) and the solution is "yes" if the number is prime and "no" otherwise (in this case "no").,yes,Is the instance a number (e.g. 15) and the general term used to describe the output to any given input in a problem instance is " yes " if the number is prime and " no " otherwise (in this case " no ")?,the solution,0.3326248,[0.3326248],NA
What topic do private bills typically have?,large-scale development projects,infrastructure projects,Private bills normally relate to large-scale development projects such as infrastructure projects that require the use of land or property.,yes,Do private bills normally relate to large - scale development projects such as the topic private bills typically have that require the use of land or property?,infrastructure projects,0.29259965,[0.29259965],SA
What does the utilitarian principle seek for the greatest number of people?,the greatest good,the greatest good,Following the utilitarian principle of seeking the greatest good for the greatest number 每 economic inequality is problematic.,yes,Is following the utilitarian principle of seeking the thing the utilitarian principle seek for the greatest number of people for the greatest number 每 economic inequality problematic?,is problematic,0.42678976,[0.42678976],FP
What profession does Zbigniew Badowski have?,architects,architects,The building was designed by architects Marek Budzy里ski and Zbigniew Badowski and opened on 15 December 1999.,yes,Was the building designed by the profession does Zbigniew Badowski have Marek Budzy里ski and Zbigniew Badowski and opened on 15 December 1999?,architects,0.1966393,[0.1966393],NA
What did the use of steam engines in farming lead to?,increase in the land available for cultivation,increase in the land available for cultivation,Their use in agriculture led to an increase in the land available for cultivation.,yes,Did their use in agriculture lead to an thing did the use of steam engines in farming lead to?,increase in the land available for cultivation,0.2801265,[0.2801265],NA
What was the percentage of Germans attending private high schools in 2008?,11.1,11.10%,Percent of students in private high schools reached 11.1%.,yes,Did percent of students in private high schools reach the percentage of Germans attending private high schools in 2008?,11.10%,0.15770963,[0.15770963],FP
What is included in the data in connectionless mode?,<No Answer>,complete addressing information,In connectionless mode each packet includes complete addressing information.,yes,Does in connectionless mode each packet include the thing included in the data in connectionless mode?,complete addressing information,0.33501944,[0.33501944],FP
What molecules are parts of the body of an organism in immunology?,self molecules,self,One class of non-self molecules are called antigens (short for antibody generators) and are defined as substances that bind to specific immune receptors and elicit an immune response.,yes,Are one class of non - molecules that are parts of the body of an organism in immunology molecules called antigens (short for antibody generators) and are defined as substances that bind to specific immune receptors and elicit an immune response?,self molecules,0.3211929,[0.3211929],SA
