Source Question,Ground Truth,Source Answer,Source Answer ID,Target Answer ID,New Question,New Answer ID,Inspection Conclusion
What college did Paul Ryan attend that has a team Miami RedHawks men's basketball?,"[{'kb_id': 'm.01r3y2', 'text': 'Miami University'}]",miami university,m.01r3y2,"['m.0zs_v6j', 'm.0h71xs0']",what is the number of postgraduates of the college Paul Ryan attend that has a team Miami RedHawks men's basketball,['m.01r3y2'],NA
Who is the current governor has the official symbol of greater short-horned lizard area?,"[{'kb_id': 'm.02rzfbm', 'text': 'Matt Mead'}]",swedish national bank,m.06vk4,"['m.0gj5rkl', 'm.0gmhbvb']",what is the employees of the current governor has the official symbol of greater short - horned lizard area,"['m.01x8wv', 'm.0284t04', 'm.060qbw', 'm.03h64', 'm.04f6gr', 'm.0hsb3', 'm.02mw6c', 'm.0gj5628', 'm.0416zwc', 'm.0v_fkv1', 'm.0w21r1w', 'm.0wdw970', 'm.0whcc5c', 'm.09lc9', 'm.0fnt0c', 'm.02l6_', 'm.0w8kvn4', 'm.0w2ptz0', 'm.0j1yc6z', 'm.0h2l35n', 'm.0846v', 'm.01fnc', 'm.0n_r_01', 'm.0wpt7sl', 'm.0101b4ft', 'm.0w1ct15', 'm.026w144', 'm.02b_qw', 'm.0vb3nls', 'm.0w4d_50', 'm.09xwz', 'm.06vk4']",SA
Who held Secretary of State after the Battle of Vicksburg?,"[{'kb_id': 'm.07t2k', 'text': 'Ulysses S. Grant'}]",lord dudley,m.05snvx5,['m.05zppz'],who is the gender of the person held Secretary of State after the Battle of Vicksburg,"['m.07t2k', 'm.0rlz', 'm.09bg4l', 'm.0kn4c', 'm.01g9kk', 'm.01c0jq', 'm.042fk', 'm.0d1_f', 'm.0424m', 'm.07ssc', 'm.09b6zr', 'm.02mjmr', 'm.021yzd', 'm.08959', 'm.07cbs', 'm.03_nq', 'm.083q7', 'm.034ls', 'm.0157m', 'm.06c97', 'm.04lhfcl', 'm.05snvx5', 'm.05v0qnb', 'm.02yy8', 'm.0203v', 'm.0b3tf', 'm.062t6j8', 'm.01t9hj', 'm.0dm0x', 'm.020d5', 'm.0_s3z_t', 'm.062t4w', 'm.042d1', 'm.034rd', 'm.028rk', 'm.0dq2k', 'm.01hvyf', 'm.026v8cr', 'm.06c0j', 'm.01bxb3', 'm.02ggrk', 'm.0ncr0fn', 'm.014vk4', 'm.0krz_', 'm.03k_f', 'm.01ssfl', 'm.01v0p7', 'm.01sy3l', 'm.042kg', 'm.023dnx', 'm.02y3t8', 'm.02vj87', 'm.01mvpv', 'm.015rqt', 'm.0266lb', 'm.04758', 'm.04_0m', 'm.01pywr', 'm.023vhj', 'm.0159wm', 'm.0ct18', 'm.01fctj', 'm.02nlj_', 'm.01f6t5', 'm.0pztx', 'm.04ps6c']",SA
What US State with 1005163 as total population does the Missouri river bisect?,"[{'kb_id': ':m.050l8', 'text': 'Montana'}]",kansas,m.0488g,['m.09c7w0'],what is the country of the US State with 1005163 as total population does the Missouri river bisect,"['m.03s0w', 'm.05fky', 'm.04ych', 'm.05fhy', 'm.0488g', 'm.06mz5', 'm.050l8']",FP
What Oceania country is the birthplace of Vicki Buck?,"[{'kb_id': 'm.0ctw_b', 'text': 'New Zealand'}]",cook islands,m.020p1,['m.046vxty'],what is the geolocation of the birthplace of Vicki Buck,"['m.0chgzm', 'm.0ctw_b', 'm.0chghy', 'm.020p1', 'm.062qg', 'm.0mgp', 'm.05br2', 'm.05vd5', 'm.04v6v', 'm.05b2h', 'm.012ts', 'm.07f9q', 'm.034tl', 'm.01b8jj', 'm.07z5n', 'm.05qkp', 'm.082nw']",SA
What is the native language of Jewish people?,"[{'kb_id': ':m.04x7hz', 'text': 'Lishanid Noshan Language'}]",spanish language,m.06nm1,"['m.0v_973z', 'm.012mm8cm', 'm.0jzrkd5', 'm.0zfwxqy', 'm.0100_sgh', 'm.010bf7n1', 'm.011cf5yq', 'm.0w5jv47', 'm.0zs635_', 'm.09vvykz', 'm.0sw3b14', 'm.0100_rlh', 'm.0109tsjl', 'm.02_r9_h', 'm.02wn10k', 'm.03p8p44', 'm.04hyn8b', 'm.05ndtc9', 'm.05nmnzs', 'm.0_kxz72', 'm.0crklw_', 'm.0k3fh8p', 'm.0n0s2x3', 'm.0n412p6', 'm.0svs1p6', 'm.0zbgpbx']",what is the students majoring of the native language of Jewish people,"['m.09c7w0', 'm.0163v', 'm.0jt3tjf', 'm.047lj', 'm.06bnz', 'm.07t21', 'm.0dgw9r', 'm.033qxt', 'm.0d0kn', 'm.013b7g', 'm.013b6_', 'm.018s6c', 'm.09v5nm6', 'm.01w_rp', 'm.02j9z', 'm.05qhw', 'm.0g0y1', 'm.02zsn', 'm.026c43z', 'm.07462wh', 'm.06j2v', 'm.0fqbf', 'm.0y6m0tz', 'm.03v66y', 'm.0920vq', 'm.04f16_z', 'm.05qfpl', 'm.08wzbz', 'm.07g7h2', 'm.0261cn', 'm.01fg76', 'm.04mn6b', 'm.099n91', 'm.06n20', 'm.0g6ff', 'm.03d9rk', 'm.09d06q', 'm.0406hk', 'm.03v09', 'm.03hzt', 'm.06bpx', 'm.0jb8ycw', 'm.01dh1c', 'm.07ytt', 'm.051201', 'm.02qmnw', 'm.06pd1', 'm.08sxh3', 'm.01mjq', 'm.06myp', 'm.05b_hxf', 'm.05f3x0m', 'm.0c_8s', 'm.0xff', 'm.0669rzp', 'm.01zlb5', 'm.0cq5j5', 'm.0sw6g', 'm.0dgt9pr', 'm.0dgt82x', 'm.0dgt9pl', 'm.09l65', 'm.06mkj', 'm.05wjnt', 'm.05wpgsx', 'm.01vvzbb', 'm.0hn7s', 'm.04w4s', 'm.018r4', 'm.03f2_rc', 'm.02tkxd', 'm.0399zl', 'm.01k84w', 'm.0h44w', 'm.02r34n', 'm.0h3wcg_', 'm.07zn47_', 'm.07462st', 'm.07462yx', 'm.05r7t', 'm.09gd86m', 'm.0dzkq', 'm.04f_0f5', 'm.01zlbk', 'm.05mzjcc', 'm.0hzlz', 'm.02kcz', 'm.09tv663', 'm.0d8mv3', 'm.028zldx', 'm.035hm', 'm.05hxy_', 'm.01_9l1', 'm.03rjj', 'm.04gzd', 'm.03cldyp', 'm.0h0yt', 'm.0d7c8', 'm.0ck91', 'm.0579tl', 'm.02z6mm', 'm.0dx_q', 'm.0466nw8', 'm.0gvq4ts', 'm.0b3v4k', 'm.034m8', 'm.0hj8818', 'm.042s_r', 'm.025vbtf', 'm.0162v', 'm.03spz', 'm.02jx1', 'm.05pbx7d']",SA
Who was the illustrator of the book Alcools and influenced Jackson Pollock 's work?,"[{'kb_id': 'm.060_7', 'text': 'Pablo Picasso'}]",pablo picasso,m.060_7,"['m.03q6klm', 'm.03qbccz', 'm.03qqwbt', 'm.03qq_02', 'm.03qqytr', 'g.120xv3kv', 'm.03qqxq6', 'g.11b6gm9v07', 'm.0856qq', 'm.0h3nsnv', 'm.0y4_b3c', 'm.0y4sv11', 'm.03qb3l9', 'm.03qqvsl', 'm.0czqrv', 'm.03qqzvx', 'm.03qr18s', 'm.03qqw5b', 'm.03q66b7', 'm.03qr02c', 'm.03qr168', 'm.03q6nqz', 'm.03q70l6', 'm.03q9yb0', 'm.03qq_gw', 'm.03qqx29', 'm.03qr1v8', 'm.03q9_gr', 'm.03q9z5h', 'm.0bh6_kc', 'm.0gz7vd6', 'g.121y9vv6', 'm.03qqw55', 'm.03qr1rz', 'm.0421l5', 'm.0449zr8', 'm.0y4_9cl', 'm.043zkzc', 'm.0g5tcb8', 'g.122gwp3v', 'm.02hw7cr', 'g.120pgw3p', 'm.0b1rxk', 'm.0cxks_p', 'm.0gfdhtc', 'm.0b9khd', 'm.02prycd', 'g.121qm9yb', 'g.1232jn6q', 'm.03q9_zr', 'm.0288z6c', 'm.02zj5n', 'm.03wmxd3', 'm.0449zrp', 'm.0449zsh', 'm.05f6wml', 'm.05zj4l', 'm.0bwh71z', 'm.0g3vhw', 'm.0g5tbhs', 'm.03q9zqd', 'g.122z_py_', 'm.0c004w1', 'g.11b6r8ylc7', 'm.03qq__8', 'm.03qqzyx', 'g.121cs0h9', 'm.0y4ssmq', 'g.1q54w4r1f', 'm.027wmsm', 'm.03gznj0', 'm.03qb2g3', 'm.0h97nq6', 'm.03q9zlp', 'g.122vxtwd', 'm.0y4ssd_', 'm.03qb9f1', 'm.03qqzbg', 'm.0y4sy8b', 'm.03q6b2w', 'm.03qqwjh', 'g.120lqmwp', 'm.03qr1_r', 'm.047flbv', 'g.121g7p2p', 'g.1239pjrl', 'm.03qb08n', 'g.1219y3pl', 'm.02vyfth', 'm.03qqxj3', 'g.121s4fsh', 'm.03qqx6x', 'm.0wbgw92', 'm.0y4sv77', 'm.0y4_d2g', 'm.03qb0rk', 'm.03qqwz3', 'm.03qr2f2', 'm.03qqvd3', 'g.120vz98m', 'g.122qmg9y', 'm.0y4sxc3', 'm.02w64cj', 'm.0265647', 'm.0gk__xx', 'm.03qr08j', 'm.03q9_pv', 'm.03qr0td', 'g.120vn71q', 'm.0y4st_d', 'm.03qbd4q', 'm.03qq_5c', 'g.121dvttp', 'm.03qqvc0', 'm.03q9_gc', 'm.0y4_bwd', 'm.03qqy9_', 'm.03qqz_5', 'g.121_jbxl', 'm.0b6jj2m', 'g.121kq4ng', 'm.03qr05v', 'g.121lyty4', 'm.0129lksr', 'g.121g7ckf', 'g.122_9hh0', 'm.03qqy7s', 'm.03qr302', 'g.1218d9gb', 'g.122t1m61', 'g.121mknrr', 'g.1211q1k2', 'm.02pry8n', 'm.02wz13l', 'm.03cx3hp', 'm.03q6vsd', 'm.03qb26v', 'm.03qb3wl', 'm.03qb9b0', 'm.03qqxc6', 'm.03qqz9q', 'm.03qqzpk', 'm.03qqzqx', 'm.03qr186', 'm.089k0s', 'm.0bbxt99', 'g.120htkft', 'm.047qy9r', 'm.03qqxm_', 'm.03qr1cg', 'm.03qr1m5', 'm.0wbmwgd', 'm.047lrrn', 'm.0gx1fdr', 'g.1pv199qm', 'm.03qqzqb', 'm.03qqzxt', 'm.03qr2hr', 'g.122w1h5r', 'g.122ysp65', 'g.121p64gg', 'g.12111y6q', 'm.0y4_cxg', 'g.122rvvq4', 'g.121v78r5', 'm.03qqx_6', 'g.120jfd1z', 'g.120ktb98', 'g.120l32vg', 'g.120phr8l', 'g.120pnmrp', 'g.120y84ty', 'g.120yxm7h', 'g.1211prqc', 'g.1211r8w0', 'g.1213hfk3', 'g.1216ff7q', 'g.1218dxnm', 'g.121bwn7v', 'g.121cs0h1', 'g.121d1t7l', 'g.121hg3wb', 'g.121lmrt4', 'g.121n9s6h', 'g.121pw622', 'g.121srb2m', 'g.121tbxcs', 'g.121ybghd', 'g.121z_7yx', 'g.12221v0j', 'g.1222z6b5', 'g.122916nh', 'g.122blzgc', 'g.122cc1t_', 'g.122g8ryd', 'g.122l3fnp', 'g.122m42tw', 'g.122qy7h0', 'g.122tcch_', 'g.122v3syn', 'g.122y542w', 'g.12302jd8', 'g.1236yr3n', 'g.1237_s_9', 'g.1237k5f2', 'm.03q6_54', 'm.03q9_g5', 'm.03qq_6p', 'm.03qqv9q', 'm.03qqwjn', 'm.03qqww3', 'm.03qqx1k', 'm.03qqy08', 'm.03qqyzd', 'm.03qqz8f', 'm.03qqzcx', 'm.043ngnc', 'm.07y13h', 'm.0ds6tp', 'm.0glpc96', 'm.0nfw469', 'm.0t52_mr', 'm.0y4_7cy', 'm.0y4_c67', 'm.0y4sxmv', 'm.0y4sxr6']",what is the artworks of the illustrator of the book Alcools and influenced Jackson Pollock's work,['m.060_7'],NA
"What can be done in the place with the largest venue capacity in Hollywood, California?","[{'kb_id': 'm.02hksn', 'text': 'Dolby Theatre'}]",hollywood sign,m.050ctv,['m.02_s3bc'],"what is the geolocation of the thing can be done in the place with the largest venue capacity in Hollywood, California","['m.04n2h_', 'm.02hksn', 'm.0qjfl', 'm.050ctv', 'm.07_dsf', 'm.05qsy8']",SA
What is the latest film that was released starring Taylor Swift?,"[{'kb_id': 'm.0dx5q8', 'text': 'The Giver'}]",valentine's day,m.06_wqk4,"['m.0y80d82', 'm.0p7gcts', 'm.0p7gfs0', 'm.0p7g2_4', 'm.0p7g6w6', 'm.0772zpg', 'm.0p7gsyh', 'm.0p7grw7', 'm.0p7grzt', 'm.0p7gs8m', 'm.0p7gsfb', 'm.0p7gsh_', 'm.0p7gsml', 'm.0p7gsq9', 'm.0p7gssj', 'm.0p7gst7', 'm.0p7gtf1', 'm.0p7gtjn', 'm.0p7gvd1', 'm.0p7gw7_', 'm.0y7_48f', 'm.0y7_4cl', 'm.0y7_4gg', 'm.0y809ls', 'm.0y809p4', 'm.0y809xv', 'm.0y809zt', 'm.0y80b1n', 'm.0y80b4v', 'm.0y80b66', 'm.0y80b87', 'm.0y80b_6', 'm.0y80bcg', 'm.0y80bfh', 'm.0y80bgy', 'm.0y80bjq', 'm.0y80bpj', 'm.0y80bsb', 'm.0y80btm', 'm.0y80bwq', 'm.0y80c0p', 'm.0y80c33', 'm.0y80c6b', 'm.0y80c_t', 'm.0y80cfg', 'm.0y80clz', 'm.0y80crh', 'm.0y80cvs', 'm.0y80cx4', 'm.0y80cy8', 'm.0y80d1k', 'm.0y80d6m', 'm.0y80d9g', 'm.0p7gk34', 'm.0p7grj7', 'm.0gx8r68', 'm.0772zm7', 'm.0772znv', 'm.0p7gh28', 'm.0p7gql_', 'm.0772zmw', 'm.0p7gk21', 'm.0772zn6', 'm.0y7_49k', 'm.0y80bl2', 'm.0p7gg4x', 'm.0p7gqq_', 'm.0p7gq1p', 'm.0p7gm0y', 'm.0p7grjp', 'm.0p7gdnx', 'm.0p7gf17', 'm.0gcx17z', 'm.0p7gkrd', 'm.0p7g4nl', 'm.0p7gg08', 'm.0p7ggj4', 'm.0p7ghq5', 'm.0772zmq', 'm.0p7g3h6', 'm.0p7gdq5', 'm.0p7g2xp', 'm.0p7g5t3', 'm.0p7gf79', 'm.0772zpy', 'm.0p7gfzm', 'm.0p7g35m', 'm.0p7g3r2', 'm.0p7g347', 'm.0772zmk', 'm.0p7gfmz', 'm.0ncdnjz', 'm.0p7gkdf', 'm.0p7gkh4', 'm.0p7gjd_', 'm.0p7gr16', 'm.0p7gf67', 'm.0p7gf5r', 'm.0p7gmzd', 'm.0p7grmh', 'm.09kkm4k', 'm.0772zp4', 'm.0p7gdz8', 'm.0p7g3dy', 'm.0p7g6f_', 'm.0p7ghhd', 'm.0772zn_', 'm.09kkm44', 'm.0p7gd4v', 'm.0772zp9', 'm.0p7grrn', 'm.0772znj', 'm.0772znc', 'm.0p7g5d4', 'm.0p7gghd', 'm.0p7ghvd', 'm.0p7gkb1', 'm.0p7gg7n', 'm.0h1dqtj', 'm.0p7gc_p', 'm.0p7gm04', 'm.0p7gdz_', 'm.0p7g6s9', 'm.0p7gcyw', 'm.0p7ghwv', 'm.0p7g43d', 'm.0p7gfbc', 'm.0p7gjnm', 'm.0p7gdty', 'm.0p7gn42', 'm.0p7g53v', 'm.07srkv9', 'm.0p7g806', 'm.0p7ggsx', 'm.0p7gjsn', 'm.0p7gf38', 'm.0p7g85d', 'm.0p7gksk', 'm.0p7gqcx', 'm.0p7gly1', 'm.0p7gj3d', 'm.0p7gnxj', 'm.0p7g5dw', 'm.0p7gklc', 'm.0772zps', 'm.0p7grf6', 'm.0ncdmgh', 'm.0p7gpgv', 'm.0p7g632', 'm.0772zmd', 'm.0p7gqb_', 'm.0772zpm', 'm.0p7ggqq']",what is the starring of the latest film that was released starring Taylor Swift,"['m.087wc7n', 'm.0dx5q8', 'm.0djb8hx', 'm.06_wqk4', 'm.02x3lt7']",SA
What David Blocker production was a movie starring Miley Cyrus?,"[{'kb_id': 'm.02x3lt7', 'text': 'Hannah Montana: The Movie'}]",big fish,m.027pfg,"['m.0cq22w6', 'm.0gw5w7n', 'm.04xvlr', 'm.0cq22fy', 'm.0gw5t6s', 'm.02822', 'm.01hmnh', 'm.0gw5m87', 'm.0cq22mw', 'm.0cq22n0']",what is the netflix genres of a movie starring Miley Cyrus,"['m.06fcqw', 'm.027pfg', 'm.0g56xqy', 'm.064qvcw', 'm.05h43ls', 'm.0crsmk2', 'm.080gfc8', 'm.03ck042', 'm.07ykkx5', 'm.0cmddrx', 'm.0bc5ny', 'm.010ls0tb', 'm.02x3lt7']",SA
What are the school colors of the educational institution that includes a grad student named Franklin Ford?,"[{'kb_id': 'm.01jnf1', 'text': 'Crimson'}]",waukegan,m.0sbbq,"['m.0hkqsrk', 'g.11x1d3pc9', 'm.0hkqsst', 'g.11x1k5b17', 'm.0hkqspz', 'm.0hkqst7', 'g.11x1ckbdr', 'm.066gspg', 'm.066gsnj', 'g.11x1ft_vv', 'm.0hkqssc', 'm.066gsnx', 'm.0hkqsqd', 'm.0hkqssl', 'm.066gsp8', 'm.0hkqsq5', 'm.066gsml', 'm.0hkqst0', 'g.11x1h0rnf', 'm.0jtclkp', 'm.0hkqss4', 'g.11x1kg0k9', 'g.11x1gjmrt', 'm.066gsmz', 'm.0hkqsrb', 'g.11x1cn_xk', 'g.11x1lbk03', 'm.0k6pmhk', 'g.11x1mmbpm', 'g.11b66ff3k_', 'g.11x1cpx2f', 'g.11x1cpy06', 'g.11x1d7rk7', 'g.11x1ddry_', 'g.11x1ds88n', 'g.11x1fdj3h', 'g.11x1fhfq3', 'g.11x1j33h0', 'g.11x1jygv0', 'g.11x1k_w6m', 'g.11x1l1ppm', 'g.11x1l91rv', 'g.12vqj8wx4', 'm.066gsmd', 'm.066gsn4', 'm.066gsnq', 'm.066gsp2', 'm.066gspn', 'm.066gspv', 'm.066gsq0', 'm.0hkqsnw', 'm.0hkqsp2', 'm.0hkqsp9', 'm.0hkqspj', 'm.0hkqspr', 'm.0hkqsqm', 'm.0hkqsqv', 'm.0hkqsr3', 'm.0jt015k']",what is the population of the school colors of the educational institution that includes a grad student named Franklin Ford,"['m.09c7w0', 'm.05k7sb']",SA
What happened during ww2 when a lower estimate of 30000 casualties occurred in Dunkirk?,"[{'kb_id': 'm.0jpb7', 'text': 'Battle of Dunkirk'}]",chiang kai-shek,m.01_4z,"['m.0646vnw', 'm.04z35l_', 'm.059t3g7', 'm.04z1l7v', 'm.062yb7j', 'm.0w5q_pc', 'm.07skn34', 'm.04z1lyd', 'm.0fq486h', 'm.0w5pxv5', 'm.04z2x9z', 'm.08cs1c2', 'm.04z35lr', 'm.0bykss2', 'm.04yydpk', 'm.062wmb9', 'm.04yygpm', 'm.04z5s6s', 'm.0gz48ng', 'm.04z35m7', 'm.04z1667', 'm.04z5q23', 'm.06477bx', 'm.0w5plmb', 'm.04z39qd', 'm.04z5x98', 'm.04fvb5d', 'm.02h7nn7', 'm.04z39q4', 'm.04z3bsk', 'm.04yw19m', 'm.0gw2xs_', 'm.04z39qm', 'm.04yv30y', 'm.0w5q_x1', 'm.0byldyj', 'm.0byk8r5', 'm.0w5v4th', 'm.04z39qw', 'm.04y_lpp', 'm.04yzr_d', 'm.0byl581']",what is the military commands of the thing happened during ww2 when a lower estimate of 30000 casualties occurred in Dunkirk,"['m.09bg4l', 'm.07_m9_', 'm.03_lf', 'm.082xp', 'm.028rk', 'm.02yy8', 'm.0c_md_', 'm.0bkp9', 'm.07ssc', 'm.029lm4', 'm.0154j', 'm.027_56', 'm.0177g', 'm.0cm2xh', 'm.0f7fy', 'm.0jpb7', 'm.01zlpn', 'm.0472f', 'm.01lmvf', 'm.01cnfd', 'm.01_4z', 'm.03r086', 'm.015xww', 'm.0dj5q', 'm.040by', 'm.02sm8', 'm.014mww', 'm.01wqc61', 'm.03f5dg', 'm.01zl37', 'm.05qhw', 'm.03_3d', 'm.04xzm', 'm.01d1lc', 'm.02h7npm', 'm.02h7nqf', 'm.064_8sq', 'm.05f3m74', 'm.03gtt', 'm.03rjj', 'm.0cbd2', 'm.0_fp0jk', 'm.02h40lc', 'm.0dg3n1', 'm.0g8f8', 'm.0345h', 'm.043wps7', 'm.0j0k', 'm.04wsz', 'm.043wpsh', 'm.0w5vmcb', 'm.0w5q8n_']",SA
