Source Question,Ground Truth,Source Answer,Source Answer ID,Target Answer ID,New Question,New Answer ID,Inspection Conclusion
what is rihanna mum called,"[{'kb_id': 'm.0h30zg_', 'text': 'Monica Braithwaite'}]",pour it up,m.0pdbqsc,['m.074ft'],what is the form of the is rihanna mum called,"['m.0gmccm8', 'm.0n3ycw6', 'm.0nmt0dn', 'm.0nnrkx3', 'm.0nk_1wb', 'm.0wj5gt2', 'm.0dprhsr', 'm.07fr_', 'm.0dmp9qt', 'm.0wkphqj', 'm.0fvtzqn', 'm.0nlpclf', 'm.0fvs0v_', 'm.0wj_66b', 'm.0fvtzr9', 'm.0fvs0vw', 'm.0nmtfdb', 'm.0f7tgnz', 'm.0dprhtx', 'm.0dnsjfj', 'm.0nnjhll', 'm.0fzs4ms', 'm.02r3_57', 'm.0ft3sjb', 'm.03g62z9', 'm.0dprj5_', 'm.0rh5tz0', 'm.0rfv1jr', 'm.01083k5q', 'm.0w01nkk', 'm.0v_w4cc', 'm.0rfpqwb', 'm.0bbl74', 'm.0t53v__', 'm.0fsngnz', 'm.010mrq68', 'm.0w3qdcj', 'm.0nfv8w_', 'm.0124sh8l', 'm.0124l9sq', 'm.0124ld1c', 'm.01249wg5', 'm.01253ypg', 'm.012jfdfw', 'm.0124x63y', 'm.0fsngp3', 'm.0124h_1l', 'm.0108l6r1', 'm.01242q15', 'm.012485vc', 'm.0124q4sd', 'm.0y9wknx', 'm.0ycxrd_', 'm.0ybnzvr', 'm.0zqdv1g', 'm.0y9zly_', 'm.0y93dkc', 'm.0yd54q3', 'm.0y8v6sv', 'm.0y9lk9c', 'm.0y9jwd5', 'm.0sp869z', 'm.0rfp_xl', 'm.0sl49vx', 'm.0rgp30v', 'm.0xg9tll', 'm.0wttmfq', 'm.012wvcgd', 'm.0y9d1c8', 'm.012v5djx', 'm.0fz8shq', 'm.0zscrn0', 'm.0frcjxs', 'm.0g925km', 'm.0__3ydd', 'm.0dtkwq0', 'm.047sxrj', 'm.064_ltw', 'm.0dvknzv', 'm.035wcs', 'm.0g0pxyt', 'm.0dpcm3y', 'm.0rf0xqb', 'm.0fvh4yh', 'm.0pclv4g', 'm.0nhjtm5', 'm.057xg2r', 'm.0dgvbl', 'm.0hnbwn1', 'm.0rsgdmp', 'm.0bbxm7y', 'm.0n5wjx_', 'm.0ymd2sy', 'm.0fv0680', 'm.0j627xf', 'm.0j7b69h', 'm.0nfvll4', 'm.0h62z5_', 'm.0fxtblx', 'm.0bh8tgs', 'm.0b90_r', 'm.0ch5cst', 'm.02k_kn', 'm.09rx93d', 'm.0fs4sv3', 'm.06zn3g7', 'm.0dmp2w2', 'm.0bb83ly', 'm.0j911fq', 'm.0j8z8k_', 'm.0h1d0jb', 'm.0d0lf_', 'm.0ncn1dw', 'm.0br_yd0', 'm.0_f49hy', 'm.0dm738p', 'm.0h67dx8', 'm.0dnxszw', 'm.09gkvm2', 'm.03f57gk', 'm.09gklql', 'm.0c8wxp', 'm.0rjdb6d', 'm.0q5jbrv', 'm.0g838r4', 'm.0nnj61p', 'm.0rfkpxn', 'm.0rhs4x1', 'm.0j7my05', 'm.0jt1jpq', 'm.0y8brq5', 'm.0g5s8pv', 'm.0ncn1fx', 'm.0j7jqy_', 'm.02q2k80', 'm.0ytcybj', 'm.0pdbqsc', 'm.0swh992', 'm.0y82ry5', 'm.04dy0ky', 'm.010jpfbc', 'm.010j9fpw', 'm.010jcyfd', 'm.09glm52', 'm.0hhrb4d', 'm.0g7348c', 'm.0w3qcxt', 'm.0j8yz11', 'm.09gpwgs', 'm.0j8yzfd', 'm.0h97gv0', 'm.0zf25fy', 'm.010qnm16', 'm.0l4p2nf', 'm.0j8yzrg', 'm.0hj9hl0', 'm.0cjw69', 'm.0kr_t', 'm.0vps_v4', 'm.0k0nv4l', 'm.0zqvb8l', 'm.0ysvl8d', 'm.0nhgln3', 'm.0j7bb6k', 'm.0yv881v', 'm.0hn8djf', 'm.0b75kzw', 'm.0ysw12k', 'm.0n2bp8s', 'm.05zvc6x', 'm.0gb8_p9', 'm.0hn8bbm', 'm.012fr24g', 'm.0hj9dd8', 'm.0hj9k_9', 'm.03cc00p', 'm.0y880r_']",FP
who is the governor of pennsylvania state now,"[{'kb_id': 'm.0gx9n2', 'text': 'Tom Corbett'}]",john andrew shulze,m.04glz7,['m.0l4vc'],what is the place of death of the governor of pennsylvania state now,"['m.0fvzz', 'm.018v5k', 'm.04_1l0v']",SA
what characters does matt stone do,"[{'kb_id': 'm.0bthgtk', 'text': 'Terrance Henry Stoot'}, {'kb_id': 'm.0h0z4dl', 'text': 'Man toasting drinks at MCA outdoor bar'}, {'kb_id': 'm.0bzk1rh', 'text': 'George Clooney'}, {'kb_id': 'm.021r0s', 'text': 'Wizard of Oz'}, {'kb_id': 'm.0bzk1r1', 'text': 'Chris'}, {'kb_id': 'm.0bzk1s0', 'text': 'Danny Glover'}, {'kb_id': 'm.0h0z48_', 'text': 'Doug Remer'}, {'kb_id': 'm.01lgj0', 'text': 'Kyle Broflovski'}, {'kb_id': 'm.0bthgtn', 'text': 'Gerald Broflovski'}, {'kb_id': 'm.0h0z47h', 'text': 'James Humphries'}, {'kb_id': 'm.0bzk1qh', 'text': 'Ethan Hawke'}, {'kb_id': 'm.0h0z47s', 'text': 'Former Columbine Student'}, {'kb_id': 'm.0vnkcxn', 'text': 'Ticket Taker'}, {'kb_id': 'm.0h0z48s', 'text': 'Dave the Lighting Guy'}, {'kb_id': 'm.0h0z48k', 'text': 'Kyle / Kenny / Jesus'}, {'kb_id': 'm.013z1n', 'text': 'Kenny McCormick'}, {'kb_id': 'm.0h0z481', 'text': 'Hermaphrodite'}, {'kb_id': 'm.0h0z488', 'text': 'Taper Guy'}, {'kb_id': 'm.0dnc0h', 'text': 'Jimbo Kearn'}, {'kb_id': 'm.0bthgtr', 'text': 'Bill Gates'}, {'kb_id': 'm.0g1jfp', 'text': 'Saddam Hussein'}]",screenwriter,m.0dxtg,['m.02h65n3'],what is the notable types of the characters matt stone do,"['m.015h31', 'm.05h2nmj', 'm.02krf9', 'm.05g074', 'm.02jknp', 'm.04l1gwb', 'm.0k43_f', 'm.0k43_n', 'm.0bky54', 'm.0n9ch97', 'm.09jwl', 'm.0np9r', 'm.0dxtg', 'm.0h0z48_', 'm.022csq', 'm.0h0z4dl', 'm.0h0z47h', 'm.0h0z48s', 'm.0h0z488', 'm.021r0s', 'm.0h0z47s', 'm.01d_h8', 'm.0h0z48k', 'm.0vnkcxn', 'm.0bthgtn', 'm.0bthgtr', 'm.0bzk1s0', 'm.0bzk1qh', 'm.0bzk1r1', 'm.0h0z481', 'm.0cnd7sr', 'm.0h0z4gc', 'm.0yc14c', 'm.0cm0lj', 'm.02hrh1q', 'm.0ddlr0']",SA
what does matt damon play in,"[{'kb_id': 'm.0114bqb3', 'text': 'Judge Not: In Defense of Dogma'}, {'kb_id': 'm.057__d', 'text': 'The Legend of Bagger Vance'}, {'kb_id': 'm.07yd9z', 'text': 'The Third Wheel'}, {'kb_id': 'm.09xbpt', 'text': ""Ocean's Thirteen""}, {'kb_id': 'm.0prrm', 'text': 'Jay and Silent Bob Strike Back'}, {'kb_id': 'm.011ypx', 'text': 'Good Will Hunting'}, {'kb_id': 'm.07_466', 'text': 'Magnificent Desolation: Walking On The Moon 3D'}, {'kb_id': 'm.0ds_wq', 'text': 'Youth Without Youth'}, {'kb_id': 'm.02x3y41', 'text': 'Green Zone'}, {'kb_id': 'm.06zjsc_', 'text': 'The Adjustment Bureau'}, {'kb_id': 'm.07024', 'text': 'Saving Private Ryan'}, {'kb_id': 'm.01j5ql', 'text': 'Courage Under Fire'}, {'kb_id': 'm.078sj4', 'text': 'Syriana'}, {'kb_id': 'm.0gd92', 'text': 'Chasing Amy'}, {'kb_id': 'm.02mpyh', 'text': 'The Talented Mr. Ripley'}, {'kb_id': 'm.07yk1xz', 'text': 'Invictus'}, {'kb_id': 'm.0dvdmg', 'text': 'Oh, What a Lovely Tea Party'}, {'kb_id': 'm.01dw49', 'text': 'Gerry'}, {'kb_id': 'm.061681', 'text': 'The Bourne Ultimatum'}, {'kb_id': 'm.0yzp8', 'text': 'Field of Dreams'}, {'kb_id': 'm.037j_8', 'text': 'Titan A.E.'}, {'kb_id': 'm.04t46v', 'text': 'Finding Forrester'}, {'kb_id': 'm.03twd6', 'text': 'The Bourne Identity'}, {'kb_id': 'm.06lsnn', 'text': 'Glory Daze'}, {'kb_id': 'm.09gdh6k', 'text': 'Hereafter'}, {'kb_id': 'm.09rvvpm', 'text': 'Happy Feet Two'}, {'kb_id': 'm.01s1wm', 'text': 'The Majestic'}, {'kb_id': 'm.0ndx3rt', 'text': 'The Monuments Men'}, {'kb_id': 'm.0418wg', 'text': ""Ocean's Twelve""}, {'kb_id': 'm.02q88q8', 'text': 'The Good Mother'}, {'kb_id': 'm.02b5wk', 'text': 'EuroTrip'}, {'kb_id': 'm.095yw_', 'text': 'Margaret'}, {'kb_id': 'm.02hvyj', 'text': 'Mystic Pizza'}, {'kb_id': 'm.0p9lw', 'text': 'Dogma'}, {'kb_id': 'm.0t51n95', 'text': 'Behind the Candelabra'}, {'kb_id': 'm.0pd6bpq', 'text': 'Promised Land'}, {'kb_id': 'm.0v2vjxh', 'text': 'The Great Wall'}, {'kb_id': 'm.01b195', 'text': 'The Rainmaker'}, {'kb_id': 'm.04vr_f', 'text': 'The Departed'}, {'kb_id': 'm.0ctnxn', 'text': 'All the Pretty Horses'}, {'kb_id': 'm.0ds1glg', 'text': 'We Bought a Zoo'}, {'kb_id': 'm.06z8s_', 'text': ""Ocean's Eleven""}, {'kb_id': 'm.0fkf28', 'text': 'Interstellar'}, {'kb_id': 'm.0n5tytm', 'text': 'The Zero Theorem'}, {'kb_id': 'm.03s6l2', 'text': 'Confessions of a Dangerous Mind'}, {'kb_id': 'm.0djb3zw', 'text': 'Unauthorized: The Harvey Weinstein Project'}, {'kb_id': 'm.043tz0c', 'text': 'The Informant!'}, {'kb_id': 'm.07dtx3', 'text': 'Push, Nevada'}, {'kb_id': 'm.034c5l', 'text': 'Spirit: Stallion of the Cimarron'}, {'kb_id': 'm.04zm1f', 'text': 'School Ties'}, {'kb_id': 'm.0c_3nd', 'text': 'Geronimo: An American Legend'}, {'kb_id': 'm.01295z79', 'text': 'The Martian'}, {'kb_id': 'm.02qzh2', 'text': 'Jersey Girl'}, {'kb_id': 'm.0crw8cx', 'text': 'Behind the Screens'}, {'kb_id': 'm.03qbfb', 'text': 'Rounders'}, {'kb_id': 'm.03k8th', 'text': 'The Bourne Supremacy'}, {'kb_id': 'm.0gwm_wy', 'text': 'Elysium'}, {'kb_id': 'm.07nxvj', 'text': 'The Good Shepherd'}, {'kb_id': 'm.0c030yv', 'text': 'Inside Job'}, {'kb_id': 'm.06hq4s', 'text': 'Stuck on You'}, {'kb_id': 'm.04dnhc_', 'text': 'Howard Zinn: You Can¡ät Be Neutral on a Moving Train'}, {'kb_id': 'm.04z257', 'text': 'The Brothers Grimm'}, {'kb_id': 'm.07t7246', 'text': 'The Good Old Boys'}, {'kb_id': 'm.0cp1_1', 'text': 'Che: Part Two'}, {'kb_id': 'm.0dgnwwr', 'text': 'Contagion'}, {'kb_id': 'm.0mzjx5c', 'text': 'Rounders 2'}, {'kb_id': 'm.01149vs4', 'text': 'Extreme Realities'}, {'kb_id': 'm.0b_w98s', 'text': 'Rising Son'}, {'kb_id': 'm.04ldj71', 'text': 'The People Speak'}, {'kb_id': 'm.0b73_1d', 'text': 'True Grit'}]",elysium,m.0gwm_wy,"['m.0glj5m6', 'm.0kprls', 'm.0kprd8', 'm.0w4vdbf']",what is the rating of matt damon play in,"['m.07dtx3', 'm.0prrm', 'm.0c030yv', 'm.04ldj71', 'm.0djb3zw', 'm.034c5l', 'm.04dnhc_', 'm.01149vs4', 'm.02q88q8', 'm.061681', 'm.0114bqb3', 'm.07024', 'm.0ds_wq', 'm.01b195', 'm.07yk1xz', 'm.09rvvpm', 'm.037j_8', 'm.0crw8cx', 'm.0dvdmg', 'm.0cp1_1', 'm.09gdh6k', 'm.0c_3nd', 'm.078sj4', 'm.095yw_', 'm.03k8th', 'm.0fkf28', 'm.0v2vjxh', 'm.0b_w98s', 'm.01s1wm', 'm.0gwm_wy', 'm.0ctnxn', 'm.01j5ql', 'm.0dgnwwr', 'm.0b73_1d', 'm.07yd9z', 'm.07nxvj', 'm.0gd92', 'm.0ndx3rt', 'm.07t7246', 'm.07_466', 'm.0yzp8', 'm.02x3y41', 'm.043tz0c', 'm.04t46v', 'm.0mzjx5c', 'm.02hvyj', 'm.0n5tytm', 'm.04vr_f', 'm.06zjsc_', 'm.0418wg', 'm.0ds1glg', 'm.04zm1f', 'm.057__d', 'm.02qzh2', 'm.06z8s_', 'm.09xbpt', 'm.03qbfb', 'm.0p9lw', 'm.02b5wk', 'm.04z257', 'm.06hq4s', 'm.03s6l2']",NA
what does gm make,"[{'kb_id': 'm.015smg', 'text': 'Automotive industry'}, {'kb_id': 'm.03qtfw8', 'text': 'Motor Vehicles and Passenger Car Bodies'}]",acadian,m.03h0wb,['g.125563xww'],gm make is notable for what,"['m.0blvz', 'm.0w_r2c2', 'm.0xmf42g', 'm.0_72nwj']",SA
what the zip code for seattle washington,"[{'kb_id': 'm.05bdr2t', 'text': '98185'}, {'kb_id': 'm.03dyr6h', 'text': '98174'}, {'kb_id': 'm.020b572', 'text': '98109'}, {'kb_id': 'm.07npx26', 'text': '98132'}, {'kb_id': 'm.07npx32', 'text': '98114'}, {'kb_id': 'm.021hcw9', 'text': '98121'}, {'kb_id': 'm.021hbty', 'text': '98105'}, {'kb_id': 'm.07npx1_', 'text': '98138'}, {'kb_id': 'm.07npx0x', 'text': '98160'}, {'kb_id': 'm.07npx1s', 'text': '98139'}, {'kb_id': 'm.07npwzy', 'text': '98191'}, {'kb_id': 'm.021hcmf', 'text': '98102'}, {'kb_id': 'm.03dyr4r', 'text': '98146'}, {'kb_id': 'm.07npw_4', 'text': '98190'}, {'kb_id': 'm.021hd2k', 'text': '98107'}, {'kb_id': 'm.07npx13', 'text': '98158'}, {'kb_id': 'm.021j58x', 'text': '98154'}, {'kb_id': 'm.07npx00', 'text': '98175'}, {'kb_id': 'm.07npx1b', 'text': '98145'}, {'kb_id': 'm.021j5jr', 'text': '98164'}, {'kb_id': 'm.021hc0f', 'text': '98103'}, {'kb_id': 'm.021hc2t', 'text': '98104'}, {'kb_id': 'm.021hfsp', 'text': '98117'}, {'kb_id': 'm.021hjjq', 'text': '98119'}, {'kb_id': 'm.021hkxk', 'text': '98136'}, {'kb_id': 'm.021jq79', 'text': '98113'}, {'kb_id': 'm.021j82v', 'text': '98161'}, {'kb_id': 'm.021hh6h', 'text': '98199'}, {'kb_id': 'm.021hc4m', 'text': '98115'}, {'kb_id': 'm.07npw_l', 'text': '98184'}, {'kb_id': 'm.07npx2f', 'text': '98129'}, {'kb_id': 'm.021hdy8', 'text': '98125'}, {'kb_id': 'm.07npw_t', 'text': '98181'}, {'kb_id': 'm.021gykc', 'text': '98155'}, {'kb_id': 'm.07npx2w', 'text': '98124'}, {'kb_id': 'm.020r3kv', 'text': '98131'}, {'kb_id': 'm.03dyr54', 'text': '98148'}, {'kb_id': 'm.02wrtkc', 'text': '98195'}, {'kb_id': 'm.09sm_9r', 'text': '98119-4114'}, {'kb_id': 'm.07npx3j', 'text': '98111'}, {'kb_id': 'm.07npx0p', 'text': '98165'}, {'kb_id': 'm.021ghs6', 'text': '98168'}, {'kb_id': 'm.021g5dm', 'text': '98122'}, {'kb_id': 'm.021gkmr', 'text': '98198'}, {'kb_id': 'm.021hfvn', 'text': '98133'}, {'kb_id': 'm.021ghmz', 'text': '98166'}, {'kb_id': 'm.07npwzq', 'text': '98194'}, {'kb_id': 'm.07npx2n', 'text': '98127'}, {'kb_id': 'm.07npx0g', 'text': '98170'}, {'kb_id': 'm.021hc9v', 'text': '98101'}, {'kb_id': 'm.021jtyl', 'text': '98177'}, {'kb_id': 'm.021hcx9', 'text': '98144'}, {'kb_id': 'm.021hcn7', 'text': '98116'}, {'kb_id': 'm.021jn8d', 'text': '98178'}, {'kb_id': 'm.021hgpc', 'text': '98134'}, {'kb_id': 'm.021hmgb', 'text': '98106'}, {'kb_id': 'm.021hqp9', 'text': '98126'}, {'kb_id': 'm.07npx07', 'text': '98171'}, {'kb_id': 'm.07npx1k', 'text': '98141'}, {'kb_id': 'm.021hcpd', 'text': '98108'}, {'kb_id': 'm.021hnt8', 'text': '98118'}, {'kb_id': 'm.021hbk1', 'text': '98188'}, {'kb_id': 'm.021hbzb', 'text': '98112'}]",98136,m.021hkxk,['m.0590d48'],what is the geometry of the the zip code for seattle washington,"['m.021hc9v', 'm.021hc2t', 'm.021hcpd', 'm.021hbty', 'm.021g5dm', 'm.020b572', 'm.021hcw9', 'm.021hgpc', 'm.021hc0f', 'm.021hd2k', 'm.021hc4m', 'm.021jn8d', 'm.07npx2w', 'm.07npx07', 'm.07npx32', 'm.07npx0x', 'm.07npx2n', 'm.07npx00', 'm.07npwzq', 'm.07npx3j', 'm.07npwzy', 'm.02wrtkc', 'm.07npx1_', 'm.07npx0p', 'm.07npx1b', 'm.021j82v', 'm.05bdr2t', 'm.07npx1k', 'm.021jq79', 'm.07npx13', 'm.020r3kv', 'm.07npx26', 'm.07npw_t', 'm.07npx1s', 'm.07npw_4', 'm.07npx2f', 'm.07npw_l', 'm.07npx0g', 'm.021hdy8', 'm.021hh6h', 'm.021jtyl', 'm.021ghmz', 'm.021hnt8', 'm.021ghs6', 'm.03dyr6h', 'm.021j5jr', 'm.021hkxk', 'm.021j58x', 'm.021hcn7', 'm.021hbk1', 'm.021gkmr', 'm.03dyr54', 'm.021hmgb', 'm.021hfvn', 'm.021hcx9', 'm.03dyr4r', 'm.021hcmf', 'm.021hbzb', 'm.021hfsp', 'm.021gykc']",NA
what is the main language spoken in mexico,"[{'kb_id': 'm.0h2bky', 'text': 'Tlapanec, Azoy¨² Language'}, {'kb_id': 'm.02hxq91', 'text': 'Kickapoo Language'}, {'kb_id': 'm.0ct7sh', 'text': 'Awakateko Language'}, {'kb_id': 'm.026rbw2', 'text': 'Matlatzinca language'}, {'kb_id': 'm.02hwrvs', 'text': 'Mocho Language'}, {'kb_id': 'm.02hx1c7', 'text': 'Texistepec language'}, {'kb_id': 'm.04n9hn', 'text': 'Yaqui Language'}, {'kb_id': 'm.0c_30_', 'text': 'Huichol Language'}, {'kb_id': 'm.02hxcxw', 'text': 'Seri Language'}, {'kb_id': 'm.0h3_l3', 'text': 'Trique language'}, {'kb_id': 'm.02hxx7m', 'text': 'Huamelula Language'}, {'kb_id': 'm.02hxzhl', 'text': 'Kumiai Language'}, {'kb_id': 'm.0fx0n6', 'text': 'Otomi language'}, {'kb_id': 'm.02hwfv0', 'text': 'Cuicatec, Teutila Language'}, {'kb_id': 'm.06yvsp', 'text': 'Mazatecan languages'}, {'kb_id': 'm.02hxvwd', 'text': 'Ixil, San Juan Cotzal Language'}, {'kb_id': 'm.02hxls_', 'text': 'Lacandon Language'}, {'kb_id': 'm.0gnknr', 'text': 'Pur¨¦pecha language'}, {'kb_id': 'm.0ct88h', 'text': 'Tojolabal Language'}, {'kb_id': 'm.09r_m7', 'text': 'Chuj language'}, {'kb_id': 'm.027mp4j', 'text': 'Tepehua languages'}, {'kb_id': 'm.02hx45z', 'text': 'Chochotec Language'}, {'kb_id': 'm.02mz30', 'text': ""O'odham language""}, {'kb_id': 'm.026kljv', 'text': 'Pame language'}, {'kb_id': 'm.02hww6w', 'text': 'Huastec, Veracruz Language'}, {'kb_id': 'm.0952_d', 'text': ""Q'eqchi' Language""}, {'kb_id': 'm.026cttd', 'text': 'Pima Bajo Language'}, {'kb_id': 'm.02hw_kw', 'text': 'Kiliwa Language'}, {'kb_id': 'm.01_0ct', 'text': 'Chinantecan languages'}, {'kb_id': 'm.0265vht', 'text': 'Tarahumara language'}, {'kb_id': 'm.02hxcp6', 'text': 'Cochimi Language'}, {'kb_id': 'm.02bjrlw', 'text': 'Italian Language'}, {'kb_id': 'm.02hxtxy', 'text': 'Ixcatec Language'}, {'kb_id': 'm.08z862', 'text': 'Mayo Language'}, {'kb_id': 'm.027s7fc', 'text': 'Mazahua language'}, {'kb_id': 'm.02hx6hm', 'text': 'Jakaltek language'}, {'kb_id': 'm.02hxp72', 'text': 'Q¡¯anjob¡¯al language'}, {'kb_id': 'm.02hxyc2', 'text': 'Huarijio Language'}, {'kb_id': 'm.025_3fs', 'text': 'Huave language'}, {'kb_id': 'm.02hx7z3', 'text': 'Cocopah Language'}, {'kb_id': 'm.03525r', 'text': ""K'iche' language""}, {'kb_id': 'm.0h54_g', 'text': 'Mixe languages'}, {'kb_id': 'm.02hwjvf', 'text': 'Tataltepec Chatino Language'}, {'kb_id': 'm.0czdxk', 'text': 'Chicomuceltec Language'}, {'kb_id': 'm.03vsxc', 'text': 'Maya, Yucat¨¢n Language'}, {'kb_id': 'm.026cthd', 'text': 'Tepehuan, Southeastern Language'}, {'kb_id': 'm.04h3_d', 'text': 'Tzotzil language'}, {'kb_id': 'm.02hxqk4', 'text': 'Totonac, Highland Language'}, {'kb_id': 'm.02hwt81', 'text': 'Guerrero Amuzgo language'}, {'kb_id': 'm.0431w7', 'text': 'Ch¡¯ol language'}, {'kb_id': 'm.026klts', 'text': 'Chichimeca Jonaz language'}, {'kb_id': 'm.0dg033', 'text': 'Mixtecan languages'}, {'kb_id': 'm.02hxsxz', 'text': 'Cora, El Nayar Language'}, {'kb_id': 'm.05hjc', 'text': 'Nahuatl languages'}, {'kb_id': 'm.02hwy5n', 'text': 'Paipai Language'}, {'kb_id': 'm.06nm1', 'text': 'Spanish Language'}, {'kb_id': 'm.0cd3rq', 'text': 'Chontal, Tabasco Language'}, {'kb_id': 'm.04h3z9', 'text': 'Tzeltal language'}]","tlapanec, azoy¨² language",m.0h2bky,"['m.02hx_s5', 'm.050pdk']",what is the language family of the main language spoken in mexico,"['m.06nm1', 'm.0fx0n6', 'm.01_0ct', 'm.03vsxc', 'm.0h3_l3', 'm.027s7fc', 'm.026kljv', 'm.026rbw2', 'm.0dg033', 'm.02hx7z3', 'm.02hx1c7', 'm.02hxx7m', 'm.0c_30_', 'm.0gnknr', 'm.02hxsxz', 'm.026cthd', 'm.02hxyc2', 'm.08z862', 'm.026cttd', 'm.04n9hn', 'm.02hxcxw', 'm.0265vht', 'm.02hxqk4', 'm.02hw_kw', 'm.02hwy5n', 'm.02hxcp6', 'm.02hxzhl', 'm.02mz30', 'm.02hxq91', 'm.02hxvwd', 'm.02hxls_', 'm.02hwt81', 'm.02hx6hm', 'm.04h3z9', 'm.0cd3rq', 'm.02hwfv0', 'm.02hx45z', 'm.0952_d', 'm.02hxp72', 'm.09r_m7', 'm.0ct88h', 'm.02hww6w', 'm.0431w7', 'm.0h2bky', 'm.02hxtxy', 'm.02hwjvf', 'm.04h3_d', 'm.0czdxk', 'm.02hwrvs', 'm.0ct7sh', 'm.026klts', 'm.05hjc', 'm.03525r']",NA
what are all the songs justin bieber wrote,"[{'kb_id': 'm.0bmc2ql', 'text': 'Somebody to Love'}, {'kb_id': 'm.0jxkzb9', 'text': 'All Around The World'}, {'kb_id': 'm.0yt3yyw', 'text': 'Wait for a Minute'}, {'kb_id': 'm.0zgb5ny', 'text': 'Roller Coaster'}, {'kb_id': 'm.0bbvzq2', 'text': 'Never Let You Go'}, {'kb_id': 'm.0zg6nnd', 'text': 'Change Me'}, {'kb_id': 'm.0k0l2vf', 'text': 'As Long as You Love Me'}, {'kb_id': 'm.0zmzvrc', 'text': 'Confident'}, {'kb_id': 'm.0zbv_v0', 'text': 'All Bad'}, {'kb_id': 'm.0bbz4p9', 'text': 'Eenie Meenie'}, {'kb_id': 'm.0ynrkyl', 'text': 'All That Matters'}, {'kb_id': 'm.0jwqwyx', 'text': ""Turn to You (Mother's Day Dedication)""}, {'kb_id': 'm.0y6b7k5', 'text': 'Heartbreaker'}, {'kb_id': 'm.0c3vvnk', 'text': 'Never Say Never'}, {'kb_id': 'm.0jxk_hq', 'text': 'Thought Of You'}, {'kb_id': 'm.012k_48s', 'text': 'Home to Mama'}, {'kb_id': 'm.09v3gb4', 'text': 'Baby'}, {'kb_id': 'm.0qfpkqq', 'text': 'Right Here'}, {'kb_id': 'm.0fqlv5l', 'text': 'Bigger'}, {'kb_id': 'm.0yt3zg2', 'text': 'Recovery'}, {'kb_id': 'm.0z6sgcx', 'text': 'Bad Day'}, {'kb_id': 'm.0rytzvz', 'text': '#thatPower'}, {'kb_id': 'm.0zdkrym', 'text': 'PYD'}, {'kb_id': 'm.0g5q9ky', 'text': 'First Dance'}, {'kb_id': 'm.0j64n8c', 'text': 'Boyfriend'}, {'kb_id': 'm.0j4453t', 'text': 'Live My Life'}, {'kb_id': 'm.0jwx2_w', 'text': 'Die in Your Arms'}, {'kb_id': 'm.0ljtwfj', 'text': 'Beautiful'}, {'kb_id': 'm.0yt1lb9', 'text': 'Hold Tight'}, {'kb_id': 'm.0g5b0p2', 'text': 'Pray'}, {'kb_id': 'm.0jxk_kq', 'text': 'Beauty And A Beat'}, {'kb_id': 'm.0116pj4q', 'text': 'Lolly'}]",jaxon bieber,m.0gxnnwq,['m.05zppz'],who is the gender of the are all the songs justin bieber wrote,"['m.0gs6vr', 'm.0d33gyq', 'm.0bbv9gg']",FP
who made the laws in canada,"[{'kb_id': 'm.0h6dy', 'text': 'House of Commons of Canada'}, {'kb_id': 'm.0l_j_', 'text': 'Parliament of Canada'}]",michigan,m.04rrx,['m.09c7w0'],what is the country of the person made the laws in canada,"['m.059g4', 'm.05kr_', 'm.07c5l', 'm.04rrx', 'm.015jr']",SA
who 's dating claire danes,"[{'kb_id': 'm.02tc5y', 'text': 'Hugh Dancy'}]",billy crudup,m.030hcs,['m.063t7ql'],what is the infidelity victim of the person's dating claire danes,"['m.0gvsh7l', 'm.030bh8', 'm.02862zk', 'm.02r8s41', 'm.01cssf', 'm.03rjj', 'm.0b76kw1', 'm.0dvmd', 'm.0j_7m55']",SA
