Source Question,Ground Truth,Source Answer,Source Answer ID,Statement (SQ+SA),Target Answer,Target Answer ID,New Question,New Answer ID,Inspection Conclusion
What 2011 governor of Ohio previously held a position in the Ohio Senate?,"[{'kb_id': 'm.02zzm_', 'text': 'John Kasich'}]",thomas ewing,m.0351xv,thomas ewing previously held a position in the ohio senate.,ohio senate,m.03fkgg,Where did thomas ewing previously hold a position ?,"['m.09c7w0', 'm.01x73', 'm.05k7sb', 'm.0498y', 'm.05tbn', 'm.03v1s', 'm.04ych', 'm.0gyh', 'm.04rrx', 'm.0vbk', 'm.02xry', 'm.05fjf', 'm.0488g', 'm.07b_l', 'm.04ly1', 'm.03v0t', 'm.05kj_', 'm.01n4w', 'm.05fhy', 'm.0846v', 'm.06mz5', 'm.059_c', 'm.05fjy', 'm.05fky', 'm.0vmt', 'm.05mph', 'm.04jtgly', 'm.0pqb2', 'm.04j73wk', 'm.04ml1k_', 'm.04krgfm', 'm.01lk20', 'm.01fgff', 'm.04kcmlr', 'm.0c1f1jk', 'm.04kq1qt', 'm.03bwzwk', 'm.04x_n9q', 'm.04mmb4h', 'm.01lk44', 'm.034n9c', 'm.01lk4j', 'm.04x_n9k', 'm.04x_n9w', 'm.01sn3', 'm.09qym0', 'm.09s2mm', 'm.0nbvfhf', 'm.06bt5x', 'm.06btq', 'm.0448z68', 'm.064lw9n', 'm.04d4qrk', 'm.0zf56_h', 'm.0d851', 'm.04vb4_8', 'm.0nbz0_c', 'm.02wss4p', 'm.04kcmnv', 'm.04kcmnq', 'm.04kcmp2', 'm.04kcmpg', 'm.04kcmpz', 'm.04kcmpv', 'm.04kcmpb', 'm.04kcmnb', 'm.04kcmp6', 'm.04kcmn6', 'm.04kcmq2', 'm.04kcmng', 'm.04kcmnl', 'm.04kcmpq', 'm.04kcmnz', 'm.02wss8h', 'm.02wss5t', 'm.02wss9v', 'm.02wss5g', 'm.02wssbc', 'm.02wt3n6', 'm.02wss6x', 'm.02wss7y', 'm.02wssdh', 'm.02wss93', 'm.02wss65', 'm.02wss52', 'm.02wsscw', 'm.02wssc2', 'm.02wss7k', 'm.04krgmm', 'm.04krgnr', 'm.04krgmc', 'm.04krgp7', 'm.04krgm3', 'm.04krgn3', 'm.04krgm_', 'm.04krgn_', 'm.04krgmh', 'm.04krgmw', 'm.04krgp3', 'm.04krgm7', 'm.04krgnm', 'm.04krglw', 'm.04krgn7', 'm.04krgnw', 'm.04krglr', 'm.04krgmr', 'm.04krgl_', 'm.04krgnh', 'm.04krgnc', 'm.04x_n4m', 'm.0w32dv5', 'm.07nwthp', 'm.0bfmzvx', 'm.0w34wfq', 'm.010hck3p', 'm.010hck1d', 'm.010hcj_r', 'm.010hck2q', 'm.010hck7m', 'm.010hckby', 'm.010hckg4', 'm.010hck6l', 'm.010hck0z', 'm.010hckb2', 'm.010hckjd', 'm.04x_n07', 'm.09jy10q', 'm.010wykmd', 'm.0nbvfmq', 'm.011f2fdj', 'm.0bqtlwd', 'm.04mm9v1', 'm.0bqtmbz', 'm.0bqtljm', 'm.05vb02g', 'm.0bqtkz7', 'm.0bqtl53', 'm.0bqtknc', 'm.010x0p2s', 'm.010wxb78', 'm.010wxt56', 'm.010wxxw8', 'm.010wy02t', 'm.010wy0wk', 'm.010tzv_4', 'm.010wx6nc', 'm.0bfnyx7', 'm.0bfnynb', 'm.0bfnyw1', 'm.0bfnywc', 'm.0bfnywz', 'm.0bfnyvr', 'm.0bfnyvg', 'm.0bfnywn', 'm.0bfnytq', 'm.0bfnytd', 'm.04d4qrz', 'm.0bfnyv4', 'm.09rqv57', 'm.0bfnyxk', 'm.04jtgn8', 'm.04jtgmn', 'm.04jtgnx', 'm.04jtgpn', 'm.04jtgp4', 'm.04jtgnn', 'm.04jtgp0', 'm.04jtgps', 'm.04jtgpx', 'm.04jtgnj', 'm.04jtgnd', 'm.04jtgmj', 'm.04jtgq0', 'm.04jtgn4', 'm.04jtgms', 'm.04jtgmd', 'm.04jtgns', 'm.04jtgpj', 'm.04jtgp8', 'm.04jtgn0', 'm.04jtgpd', 'm.04jtgmx', 'm.04x_n1k', 'm.04j8xvv', 'm.04j8xvg', 'm.04j8xw2', 'm.04j8xtz', 'm.04j8xvq', 'm.04j8xv6', 'm.04j8xv2', 'm.04j8xvb', 'm.04j8xw6', 'm.04j8xvz', 'm.0b7s1yv', 'm.0b7s35j', 'm.04j9dt6', 'm.04j9dsz', 'm.04j9dsq', 'm.04j9dsl', 'm.04j9dt2', 'm.04j9dsv', 'm.0cjvkj7', 'm.0j3z6qp', 'm.0bghg2q', 'm.07wyh_2', 'm.07wyj8g', 'm.07wyj9l', 'm.07wyj86', 'm.07wyj8q', 'm.07wyj1z', 'm.07wyh_6', 'm.07wyj0b', 'm.07wyj8b', 'm.07wyj5z', 'm.07wyh_g', 'm.07wyj7v', 'm.07wyj5v', 'm.07wyj0z', 'm.07wyj3v', 'm.07wyh_v', 'm.07wyj2z', 'm.07wyj5l', 'm.07wyj7z', 'm.07wyj12', 'm.07wyj3b', 'm.07wyj16', 'm.07wyj9g', 'm.07wyj02', 'm.07wyj6b', 'm.07wyj3q', 'm.07wyj7g', 'm.07wyj3g', 'm.07wyj26', 'm.07wyj5q', 'm.07wyj8v', 'm.07wyj0v', 'm.07wyj4z', 'm.07wyj32', 'm.07wyj5b', 'm.07wyj1l', 'm.07wyj0g', 'm.07wyj2g', 'm.07wyj92', 'm.07wyj2v', 'm.07wyj9b', 'm.07wyj3z', 'm.07wyj2b', 'm.07wyj8l', 'm.07wyj42', 'm.07wyj06', 'm.07wyj6g', 'm.07wyj72', 'm.07wyh_b', 'm.07wyj0q', 'm.07wyj1b', 'm.07wyj3l', 'm.07wyh_l', 'm.07wyj4l', 'm.07wyj36', 'm.07wyj46', 'm.07wyj22', 'm.07wyj6z', 'm.07wyj9q']",SA
"Which magazine did Edgar Allan Poe work for, with the earliest publication start date?","[{'kb_id': 'm.028b1d9', 'text': ""Burton's Gentleman's Magazine""}]",the tell-tale heart,m.0403zxt,"edgar allan poe worked for, with the earliest publication start date the tell-tale heart.",edgar allan poe,m.02lt8,Who worked for the earliest publication start date the tell - tale heart ?,"['m.039xbb', 'm.02h667t', 'm.06zts42', 'm.02xhgwq', 'm.0kyk', 'm.05z96', 'm.0cbd2', 'm.02hrh1q', 'm.02_286', 'm.094jv']",SA
What did Randy Jackson play in the award nominated When You Love a Woman?,"[{'kb_id': 'm.018vs', 'text': 'Bass guitar'}, {'kb_id': 'm.0290ngj', 'text': 'Vocals'}]",america's best dance crew,m.03nqbc4,randy jackson played america's best dance crew in the award nominated when you love a woman.,randy jackson,m.02yygk,Who played america ' s best dance crew in the award nominated when you love a woman ?,"['m.015cqh', 'm.02hnl']",SA
In what time zone does the film "Nashville" take place?,"[{'kb_id': 'm.02fqwt', 'text': 'Central Time Zone'}]",national society of film critics award for best supporting actor,m.02x73k6,the film " nashville " takes place in national society of film critics award for best supporting actor time zone.,nashville,m.0j_t1,What film takes place in the national society of film critics award for best supporting actor time zone ?,"['m.02hrh1q', 'm.0bh9g73', 'm.015qqg', 'm.0sxjs', 'm.050t99', 'm.01d_h8', 'm.0np9r', 'm.04x4nv', 'm.016dgz', 'm.02jknp', 'm.0m9p3', 'm.05pwq_', 'm.05m55b', 'm.048lv', 'm.04x4gw', 'm.02qgqt', 'm.015grj', 'm.09qycb', 'm.0c0d9s', 'm.0277j40', 'm.0422v0', 'm.02stbw', 'm.0bw6fj', 'm.0ch0qx', 'm.04vr_f', 'm.0ff4w', 'm.07j94', 'm.011yqc', 'm.0b2v79', 'm.055c8', 'm.0306c6', 'm.0170th', 'm.03c_cxn', 'm.04w2h3', 'm.0b44shh', 'm.01dc0c', 'm.011ycb', 'm.03dz4n', 'm.02mpyh', 'm.06cgy', 'm.043g6j', 'm.02sjf5', 'm.027g6m5', 'm.02tv80', 'm.016ggh', 'm.0blpg', 'm.01xsbh', 'm.0gmcylb', 'm.0gy6z9', 'm.03b1l8', 'm.01ycbq', 'm.07tlfx', 'm.0b4lkx', 'm.0g4vmj8', 'm.02mjf2', 'm.02p65p', 'm.017r13', 'm.031h9k', 'm.032_jg', 'm.0dvmd', 'm.05bnp0', 'm.01jw67', 'm.04x4p6', 'm.0hfzr', 'm.017149', 'm.04d2yp', 'm.015np0', 'm.039bp', 'm.016yvw', 'm.04x49m', 'm.0170qf', 'm.01wbg84', 'm.03n_7k', 'm.036r3f', 'm.04l19_', 'm.01tcf7', 'm.01515w', 'm.0ht9x', 'm.01wy5m', 'm.016zp5', 'm.02fn5', 'm.026w0m_', 'm.01hqhm', 'm.015c4g', 'm.03xkps', 'm.01pd46', 'm.013cr', 'm.01swck', 'm.01pcbg', 'm.01v90t', 'm.04yyhw', 'm.02fybl', 'm.06mr6', 'm.01nr36', 'm.0klh7', 'm.01yk13', 'm.029_l', 'm.047bynf', 'm.08p5l7', 'm.0ghs_5r', 'm.02j490', 'm.09kysc', 'm.0g5fwxf', 'm.04x3kb']",SA
What film that was released before 2005-10-25 was Kim Richards in?,"[{'kb_id': 'm.02rl4qq', 'text': 'The Car'}, {'kb_id': 'm.08dyxd', 'text': 'Escape to Witch Mountain'}, {'kb_id': 'm.07wbmd', 'text': 'Tuff Turf'}, {'kb_id': 'm.0dnh5w', 'text': 'No Deposit, No Return'}, {'kb_id': 'm.04f2h9q', 'text': 'Raid on Entebbe'}, {'kb_id': 'm.05r3nm', 'text': 'Return from Witch Mountain'}, {'kb_id': 'm.0d1_kl', 'text': 'Meatballs Part II'}]",black snake moan,m.0ff1st,black snake moan was released before 2005 - 10 - 25 was kim richards in.,kim richards,m.08l257,What was the name of the black snake released before 2005 - 10 - 25 ?,"['m.09zzb8', 'm.04fw17j', 'm.02qs65f', 'm.0k66p6', 'm.014gc6', 'm.076y8wd', 'm.02tx6q', 'm.05n3l7', 'm.046m59', 'm.06t6dz', 'm.080nwsb', 'm.098j4cg', 'm.0bbd0by', 'm.0f5xn', 'm.0ch6mp2', 'm.03yvvxc', 'm.04f61fy', 'm.0155w', 'm.097x5pw', 'm.027h_2z', 'm.06fdlw', 'm.03fxn3j', 'm.0t5xfkj', 'm.01wlt3k', 'm.01fx2g', 'm.05mw1zt', 'm.08z4g9', 'm.0bh5pxk', 'm.0bh5pyl', 'm.05chs2', 'm.0bh5pzg', 'm.0280jp4', 'm.0bw26s', 'm.027_64j', 'm.0bh5q0j', 'm.074b7', 'm.02z84b3', 'm.036ny9', 'm.0vn01xq', 'm.0vm_n_c', 'm.0bgkh8j', 'm.04zxktp', 'm.0wg5y6f', 'm.0280j9g', 'm.08r52w', 'm.04zvmgs', 'm.0fvbd5', 'm.0bh5q06', 'm.0bh5pxb', 'm.05w7rl', 'm.04lgvk3', 'm.0bh5pxw', 'm.0vm_phf', 'm.0bh5p_z', 'm.0cw3yd', 'm.0bh5py5', 'm.0bh5pzq', 'm.0bh5p_0', 'm.0vn0g98', 'm.027g6y5', 'm.0vn05c3', 'm.0bh5p_d', 'm.0vn03kg', 'm.0bh5pyz', 'm.0vn03rc', 'm.0vn043r', 'm.0vn0d16']",FP
What is the sacred text of the Tao Te Ching religion?,"[{'kb_id': ':m.05blr4', 'text': 'Daozang'}]",cai shen,m.0j626gb,cai shen is the sacred text of the tao te ching religion.,tao te ching,m.02czn,What religion is the cai shen sacred ?,"['m.01g7ln', 'm.01tbmq', 'm.09n_d1', 'm.01g7kl', 'm.01g7jh', 'm.01g7m0', 'm.01gcqh', 'm.01gcpr', 'm.01gcpc', 'm.025964', 'm.02rj87h', 'm.0258q8', 'm.01g7rf']",SA
What sacred Daoist text had an influence on Jorge Luis Borges?,"[{'kb_id': 'm.0164zy', 'text': 'Zhuang Zhou'}]",heraclitus,m.03l6h,heraclitus had an influence on jorge luis borges.,jorge luis borges,m.040db,What did heraclitus have an influence on ?,"['m.0mm8', 'm.0g4scz1', 'm.05sr0', 'm.02p8r', 'm.037mh8', 'm.04s2z', 'm.02h6fbs', 'm.0by4xph']",SA
The Governor of Illinois operates in a state that follows what time zone?,"[{'kb_id': 'm.02fqwt', 'text': 'Central Time Zone'}]",executive offices,m.03qbt12,the governor of illinois operates in a state that follows executive offices.,governor of illinois,m.01lk2c,Who operates in a state that follows executive offices ?,"['m.03s0w', 'm.01_d4', 'm.06yxd', 'm.0pf6v', 'm.09gp3jt', 'm.02xry', 'm.0f2v0', 'm.059f4', 'm.0f2rq', 'm.03gh4', 'm.0d0x8']",SA
What is the currency of the place whose religious organization leadership is the Society of Jesus?,"[{'kb_id': 'm.024nzm', 'text': 'Argentine peso'}]",ivan franko,m.037ymc,ivan franko is the currency of the place whose religious organization leadership is the society of jesus.,society of jesus,m.04399,ivan franko is the currency of the place whose religious organization leadership is what ?,"['m.07t21', 'm.06bnz', 'm.0d060g']",SA
"What movies released after November 27, 2002 did Adam Sandler play in?","[{'kb_id': ':m.0hg5', 'text': 'Andorra'}]",grown ups,m.0640m69,"grown ups released after november 27, 2002 did adam sandler play in.",adam sandler,m.0pz91,"Who played in the grown ups released after november 27 , 2002 ?","['m.06rq2l', 'm.0839pf_']",SA
The Governor of Illinois operates in a state that follows what time zone?,"[{'kb_id': 'm.02fqwt', 'text': 'Central Time Zone'}]",henry horner,m.067wc_,the governor of illinois operates in a state that follows henry horner.,governor of illinois,m.01lk2c,Who operates in a state that follows henry horner ?,"['m.01_6v6w', 'm.03c8v0', 'm.03v0t', 'm.07wrz', 'm.03sq7b', 'm.01l1jx']",SA
The location that appointed Benjamin Netanyahu to governmental position has what type of government?,"[{'kb_id': 'm.018wl5', 'text': 'Parliamentary system'}]",finance minister of israel,m.02_mk2,the location that appointed benjamin netanyahu to governmental position has finance minister of israel.,benjamin netanyahu,m.0fm2h,Who was appointed to the position of finance minister of israel ?,['m.018ykd'],SA
What magazine with earliest publication end date did Edgar Allan Poe work for?,"[{'kb_id': 'm.028b1d9', 'text': ""Burton's Gentleman's Magazine""}]",the raven,m.09lvsz,edgar allan poe worked for the raven with earliest publication end date.,edgar allan poe,m.02lt8,Who worked for the raven with earliest publication end date ?,"['m.01l3j', 'm.02qdfvc', 'm.0cbd2', 'm.05z96']",SA
What magazine with earliest publication end date did Edgar Allan Poe work for?,"[{'kb_id': 'm.028b1d9', 'text': ""Burton's Gentleman's Magazine""}]",the journal of julius rodman,m.05n7r_f,edgar allan poe worked for the journal of julius rodman with earliest publication end date.,edgar allan poe,m.02lt8,Who worked for the journal of julius rodman with earliest publication end date ?,"['m.06zts42', 'm.0cbd2', 'm.02xhgwq', 'm.02h667t', 'm.05z96', 'm.0kyk']",SA
What movie about ancient Greek culture features Logan Lerman?,"[{'kb_id': 'm.0642xf3', 'text': 'Percy Jackson & the Olympians: The Lightning Thief'}]",the patriot,m.0gltv,the patriot features logan lerman.,logan lerman,m.04f1s6,What does the patriot feature ?,"['m.02822', 'm.02kdv5l', 'm.01d_h8', 'm.047vnkj', 'm.02hrh1q', 'm.03gjzk', 'm.04fzfj', 'm.0dxtg', 'm.02jknp', 'm.0b76d_m', 'm.0ds2n', 'm.024l2y']",SA
In what year did the Dodgers win the World Series while the Minnesota Twins were the runners up?,"[{'kb_id': 'm.04tfkz', 'text': '1965 World Series'}]",1963 world series,m.04tfp1,the dodgers won the world series while the minnesota twins were the runners up in 1963 world series year.,minnesota twins,m.0512p,Who were the runners up in the 1963 world series ?,['m.0pzt4'],FP
What years' World Series were won by the sports team whose owner is Frank McCourt?,"[{'kb_id': 'm.04j7dq', 'text': '1981 World Series'}, {'kb_id': 'm.04j7ml', 'text': '1988 World Series'}, {'kb_id': 'm.04tfkz', 'text': '1965 World Series'}, {'kb_id': 'm.04tfp1', 'text': '1963 World Series'}, {'kb_id': 'm.04tfrv', 'text': '1959 World Series'}]",1981 world series,m.04j7dq,won by the sports team whose owner is frank mccourt were in 1981 world series.,frank mccourt,m.05w2rj,Who is the owner of the sports team that won the 1981 world series ?,['m.095nx'],NA
Which films did Adam Sandler appear in that have a Netflix ID number lower than 70087541?,"[{'kb_id': 'm.0f2sx4', 'text': 'Dickie Roberts: Former Child Star'}, {'kb_id': 'm.074w86', 'text': 'Deuce Bigalow: European Gigolo'}, {'kb_id': 'm.087pfc', 'text': 'Bedtime Stories'}, {'kb_id': 'm.02qdrjx', 'text': 'The Benchwarmers'}, {'kb_id': 'm.07zsmk', 'text': 'Eight Crazy Nights'}, {'kb_id': 'm.02m7tn', 'text': 'Click'}, {'kb_id': 'm.07x6zk', 'text': 'I Now Pronounce You Chuck and Larry'}]",reign over me,m.02hwd1n,adam sandler appeared in that have a netflix id number lower than 70087541 reign over me.,adam sandler,m.0pz91,Who appeared in that have a netflix id number lower than 70087541 reign over me ?,"['m.09w3b', 'm.07b64hl', 'm.03gh3x4', 'm.07kb7vh', 'm.07zsmk', 'm.087pfc', 'm.0f2sx4', 'm.03why2r', 'm.010rdrd1', 'm.0408m53', 'm.0640m69', 'm.03__xl', 'm.05wk2m', 'm.0727__', 'm.0gszl', 'm.07yqbg', 'm.0dr_4', 'm.095z4q', 'm.0bv8h2', 'm.02rjv2w', 'm.02ph9tm', 'm.02d413', 'm.0ch73nl', 'm.06dfjg', 'm.07x6zk', 'm.0bshwmp', 'm.086n77', 'm.0kv367', 'm.0bdqh3w', 'm.0b6w50', 'm.0gwgn1k', 'm.0grx21', 'm.01rc_m', 'm.09rdd6', 'm.01d_h8', 'm.0p9rz', 'm.0sxfd', 'm.03ttr9', 'm.0gh9fjz', 'm.06hhqq', 'm.01rh0w', 'm.02tgz4', 'm.02ql1gl', 'm.03gjzk', 'm.02m7tn', 'm.01jw67', 'm.0wp725j', 'm.0v1h', 'm.02f6g5', 'm.02hrh1q', 'm.06yykb', 'm.089c83', 'm.02ynfr', 'm.0ck8nhp', 'm.074w86', 'm.0bl6c6', 'm.08004m', 'm.07qn0', 'm.0kvdj7', 'm.020b21', 'm.0ch3qr1', 'm.0np9r', 'm.0gh748', 'm.0785tk', 'm.04ybtdp', 'm.0277lgm', 'm.09r94m', 'm.0b6f8pf', 'm.0c0l240', 'm.07v4dm']",SA
"What movies has Miley Cyrus been in released before May 1, 2014?","[{'kb_id': ':m.0gl5_', 'text': 'Boston University'}]",miley cyrus: tongue tied,m.010ls0tb,"miley cyrus: tongue tied has miley cyrus been in released before may 1, 2014.",miley cyrus,m.0bdxs5,"What is tongue tied has been released before may 1 , 2014 ?","['m.01607l', 'm.063ffhs', 'm.04rlf']",FP
What is the sacred text of the Tao Te Ching religion?,"[{'kb_id': ':m.05blr4', 'text': 'Daozang'}]",l¨¹ dongbin,m.01g7rf,l¨¹ dongbin is the sacred text of the tao te ching religion.,tao te ching,m.02czn,What religion is the l¨¹ dongbin sacred ?,"['m.01g7ln', 'm.01tbmq', 'm.09n_d1', 'm.01g7kl', 'm.0j626gb', 'm.01g7jh', 'm.01g7m0', 'm.01gcqh', 'm.01gcpr', 'm.01gcpc', 'm.025964', 'm.02rj87h', 'm.0258q8']",FP
What movie did Ron Howard direct with the largest Netflix ID?,"[{'kb_id': 'm.0gxdf11', 'text': 'Under the Boardwalk: The Monopoly Story'}]",the courtship of eddie's father,m.02rylzd,ron howard directed the courtship of eddie's father with the largest netflix id.,ron howard,m.0g2lq,Who directed the courtship of eddie ' s father with the largest netflix id ?,"['m.01tl50z', 'm.03gyhsd']",SA
For what is the area where the newspaper Creative Loafing circulates famous?,"[{'kb_id': 'm.0jhn7', 'text': '1996 Summer Olympics'}]",atlanta ballet,m.0fpmfg,for atlanta ballet is the area where the newspaper creative loafing circulates famous.,creative loafing,m.027f3fm,What is the area where the newspaper that is famous circulates famous ?,"['m.09c7w0', 'm.06bxs4', 'm.0130ft', 'm.0j28sdt', 'm.030pkm', 'm.0fhg7p', 'm.0nzny', 'm.0d0x8', 'm.050my1', 'm.03spbl', 'm.033h7k', 'm.03l1zc', 'm.020fp1', 'm.03xrf5', 'm.050mtz', 'm.050m_5', 'm.038gvs', 'm.050n0y', 'm.03q1hw', 'm.04_mbv', 'm.029fnx', 'm.05c25f2', 'm.02jnft', 'm.03sm22', 'm.04qrhq', 'm.027t71h', 'm.04jny9', 'm.04htb5', 'm.0gln9p', 'm.0b5g4p', 'm.0c3cp2', 'm.03wm34', 'm.04d135', 'm.027r6hr']",FP
"In Oceania, what country has the smallest GDP deflator change of rate?","[{'kb_id': 'm.05c17', 'text': 'New Caledonia'}]",howland island,m.03h93,"in oceania, howland island has the smallest gdp deflator change of rate.",oceania,m.05nrg,Where does howland island have the smallest gdp deflator change of rate ?,"['m.047t_', 'm.0161w', 'm.047tj', 'm.03_x1']",SA
