Source Question,Ground Truth,Source Answer,New Question,New Answer,Inspectation Conclusion
"holding his governmental position from earliest, who founde new york university?","[{'kb_id': 'm.01p369', 'text': 'Albert Gallatin'}]",['m.01p369'],"holding his governmental position from earlier, who founde new york university?","['m.01p369', 'm.026ssfj']",TP
what form of currency is used in the country that observes the national anthem titled l'abidjanaise?,"[{'kb_id': 'm.025sw2q', 'text': 'West African CFA franc'}]","['m.01s460', 'm.06bpx', 'm.03v09', 'm.07z5n', 'm.0f8l9c', 'm.04w58', 'm.0154j', 'm.04g61', 'm.06mzp', 'm.01xbgx', 'm.01699', 'm.04v09', 'm.02kcz', 'm.03676', 'm.01rxw', 'm.0164v', 'm.05cc1', 'm.03548', 'm.01nyl', 'm.0169t', 'm.01n6c', 'm.06srk', 'm.027jk', 'm.04sj3', 'm.03gyl', 'm.06dfg', 'm.06sw9', 'm.01p1b', 'm.01nln', 'm.07ytt', 'm.04vs9', 'm.04wgh', 'm.07fj_', 'm.04hqz', 'm.0h3y', 'm.04vg8', 'm.0qg31j']",what form of currency is used in the country that observes the internal anthem titled l'abidjanaise?,"['m.01s460', 'm.06bpx', 'm.03v09', 'm.0f8l9c', 'm.07z5n', 'm.04w58', 'm.0154j', 'm.04g61', 'm.06mzp', 'm.01xbgx', 'm.01699', 'm.04v09', 'm.02kcz', 'm.03676', 'm.01rxw', 'm.0164v', 'm.05cc1', 'm.03548', 'm.01nyl', 'm.0169t', 'm.01n6c', 'm.06srk', 'm.027jk', 'm.04sj3', 'm.03gyl', 'm.06dfg', 'm.06sw9', 'm.01p1b', 'm.01nln', 'm.07ytt', 'm.04vs9', 'm.04wgh', 'm.07fj_', 'm.04hqz', 'm.0h3y', 'm.0qg31j']",FP
what portuguese=speaking country had the net migration number of -10000?,"[{'kb_id': 'm.036b_', 'text': 'Guinea-Bissau'}]","['m.0hg5', 'm.015fr', 'm.04wlh', 'm.0j4b', 'm.036b_', 'm.0d05w3', 'm.02lx0', 'm.05r4w', 'm.02kcz']",what portuguese = speaking country had the final migration number of -10000?,"['m.015fr', 'm.0hg5', 'm.04wlh', 'm.0j4b', 'm.036b_', 'm.0d05w3', 'm.05r4w', 'm.02lx0']",TP
"who is the prime minister of the country that has national anthem march forward, dear mother ethiopia?","[{'kb_id': 'm.0dl1t3', 'text': 'Hailemariam Desalegn'}]",['m.063vn'],"who is the choice minister of the country that has interior anthem march forward, dear mother ethiopia?","['m.063vn', 'm.0d060g', 'm.060f2', 'm.02b5m2', 'm.02b5jh', 'm.01k165', 'm.021l9k', 'm.0dc32']",FP
what portuguese-speaking country's minimum wage was 356.72?,"[{'kb_id': 'm.05r4w', 'text': 'Portugal'}, {'kb_id': 'm.05r4w', 'text': 'Portugal'}, {'kb_id': 'm.05r4w', 'text': 'Portugal'}, {'kb_id': 'm.05r4w', 'text': 'Portugal'}]","['m.0hg5', 'm.015fr', 'm.0d05w3', 'm.04wlh', 'm.0j4b', 'm.02lx0', 'm.02kcz', 'm.036b_']",what lusitanian - speaking country's minimum wage was 356.72?,"['m.0d05w3', 'm.0hg5', 'm.04wlh', 'm.0j4b', 'm.015fr', 'm.02lx0', 'm.05r4w', 'm.036b_']",TP
what is the most predominant religion in the country benjamin netanyahu holds a governmental position?,"[{'kb_id': 'm.03_gx', 'text': 'Judaism'}]","['m.01dcs1', 'm.060bp', 'm.09c7w0', 'm.0nb362z', 'm.013b6_', 'm.0g0y1', 'm.05p3vsk', 'm.033qxt', 'm.02_mk2', 'm.06zpppj', 'm.018vc9', 'm.0377k9', 'm.04_pph']",what is the most rife religion in the country benjamin netanyahu holds a governmental position?,"['m.060bp', 'm.01dcs1', 'm.02_mk2', 'm.09c7w0']",TP
where in the central european time zone was the roman empire centered?,"[{'kb_id': 'm.06c62', 'text': 'Rome'}, {'kb_id': 'm.09b93', 'text': 'Ravenna'}]","['m.065sh7', 'm.03k93h', 'm.02j9z', 'm.068t40', 'm.027h6f', 'm.0424y2']",where in the cardinal european time zone was the roman empire centered?,"['m.065sh7', 'm.03k93h', 'm.068t40', 'm.027h6f', 'm.0fcqj', 'm.0424y2', 'm.05nlt0v']",FP
what is the official language where filaret is the religious leader?,"[{'kb_id': 'm.012v8', 'text': 'Albanian language'}, {'kb_id': 'm.019yz7', 'text': 'Tatar Language'}, {'kb_id': 'm.01h2j_', 'text': 'Moldovan language'}, {'kb_id': 'm.02hxc3j', 'text': 'Romanian Language'}, {'kb_id': 'm.02ztjwg', 'text': 'Hungarian language'}, {'kb_id': 'm.06b_j', 'text': 'Russian Language'}, {'kb_id': 'm.0cjk9', 'text': 'Ukrainian Language'}]",['m.0103csbr'],what is the prescribed language where filaret is the spiritual leader?,"['m.0103csbr', 'm.0dhk0d']",TP
what country do people speak portuguese where the long term unemployment rate is 15.5?,"[{'kb_id': 'm.04thp', 'text': 'Macau'}]","['m.015fr', 'm.0hg5', 'm.04wlh', 'm.05r4w', 'm.0j4b', 'm.0d05w3', 'm.02lx0', 'm.036b_']",what country do people speak portuguese where the prospicient term unemployment rate is 15.5?,"['m.05r4w', 'm.015fr', 'm.04wlh', 'm.0j4b', 'm.0d05w3', 'm.0hg5', 'm.02lx0']",TP
where did the famous person who went to horace mann school for the deaf die?,"[{'kb_id': 'm.0rd55', 'text': 'Easton'}]","['m.045363', 'm.025y0sb']",where did the far-famed person who went to horace mann school for the deaf die?,"['m.045363', 'm.025y0sb', 'm.014wq_']",TP
what portuguese speaking country has the minimum wage of 371.27?,"[{'kb_id': 'm.05r4w', 'text': 'Portugal'}, {'kb_id': 'm.05r4w', 'text': 'Portugal'}, {'kb_id': 'm.05r4w', 'text': 'Portugal'}, {'kb_id': 'm.05r4w', 'text': 'Portugal'}]","['m.015fr', 'm.0hg5', 'm.0d05w3', 'm.04wlh', 'm.0j4b', 'm.036b_', 'm.05r4w']",what portuguese speaking country has the minimal wage of 371.27?,"['m.05r4w', 'm.0d05w3', 'm.015fr', 'm.04wlh', 'm.02lx0', 'm.0j4b', 'm.0hg5']",TP
what caribbean countries once had co2 emissions of 1961 metric tons?,"[{'kb_id': 'm.0162v', 'text': 'Barbados'}, {'kb_id': 'm.0162v', 'text': 'Barbados'}, {'kb_id': 'm.06ryl', 'text': 'Saint Kitts and Nevis'}, {'kb_id': 'm.06s0l', 'text': 'Saint Lucia'}, {'kb_id': 'm.06s0l', 'text': 'Saint Lucia'}]","['m.05r7t', 'm.0162v', 'm.06ryl', 'm.02phy_9', 'm.06s0l', 'm.02phz12', 'm.0hbgh', 'm.0n3g', 'm.09lxtg']",what caribbean countries once had co2 emissions of 1961 metrical tons?,"['m.05r7t', 'm.0162v', 'm.02phy_9', 'm.06ryl', 'm.06s0l', 'm.02phz12', 'm.0hbgh', 'm.0n3g', 'm.09lxtg', 'm.05byy']",TP
what is the government type where "ardulfurataini estan" is the national anthem?,"[{'kb_id': 'm.018wl5', 'text': 'Parliamentary system'}, {'kb_id': 'm.06cx9', 'text': 'Republic'}, {'kb_id': 'm.0glnsx', 'text': 'Parliamentary republic'}, {'kb_id': 'm.0j729', 'text': 'Federal republic'}]","['m.06pd1', 'm.0btwts', 'm.0276vpt', 'm.07fj_', 'm.01z215', 'm.0287ms4', 'm.06vbd', 'm.0290sw1', 'm.06tw8', 'm.04wgh', 'm.03__y', 'm.02k54', 'm.04gqr', 'm.0161c', 'm.0h3y', 'm.04vjh', 'm.047yc', 'm.0nmz_2v', 'm.0nl04jf', 'm.05zppz', 'm.03p04v', 'm.099cft', 'm.05ymz0', 'm.02pxfc', 'm.02hwskf', 'm.02hx2cr', 'm.035t_3', 'm.0crj304', 'm.02hwhrj']",what is the government type where " ardulfurataini estan " is the internal anthem?,"['m.06pd1', 'm.0btwts', 'm.0276vpt', 'm.07fj_', 'm.01z215', 'm.0287ms4', 'm.06vbd', 'm.06tw8', 'm.04wgh', 'm.03__y', 'm.02k54', 'm.04gqr', 'm.0161c', 'm.0h3y', 'm.04vjh', 'm.0nmz_2v', 'm.0nl04jf', 'm.047yc', 'm.0crj304', 'm.0290sw1', 'm.05zppz', 'm.03p04v', 'm.099cft', 'm.05ymz0']",FP
what portuguese-speaking nation has a foreign direct investment net inflow of -100816373?,"[{'kb_id': 'm.01nqj', 'text': 'Cape Verde'}]","['m.02lx0', 'm.05r4w', 'm.04wlh', 'm.0j4b', 'm.0d05w3', 'm.015fr', 'm.0hg5']",what lusitanian - speaking nation has a alien lineal investment final inflow of -100816373?,"['m.05r4w', 'm.02lx0', 'm.04wlh', 'm.0j4b']",TP
what type of religion in the united states has the kushinagar sacred site?,"[{'kb_id': 'm.092bf5', 'text': 'Buddhism'}]","['m.02h76wg', 'm.01d9r3', 'm.0c9rw5', 'm.03pmt', 'm.0j729', 'm.011c7j4z', 'm.059dn', 'm.0c0cs', 'm.07vsl', 'm.0429lm', 'm.08__h_w', 'm.03zdww', 'm.04kk0j0', 'm.01vqcr', 'm.05bf38', 'm.0c0bf', 'm.02wtp8v', 'm.0gzltl7', 'm.0gw7mgc', 'm.06kmqz', 'm.0wxy7nm', 'm.0426tzj', 'm.02pmtdt', 'm.04gd7', 'm.060d2', 'm.07t58', 'm.0b3wk', 'm.0pdtgbh', 'm.06c6l', 'm.0h853q6', 'm.04fhpj6', 'm.04fl3np', 'm.04fxlgq', 'm.04bccr9', 'm.04938pv', 'm.07t65', 'm.011c1fjn', 'm.018qjq', 'm.015dvh', 'm.06jdbv', 'm.05fsb', 'm.04mn72t', 'm.03bw05c', 'm.0d6lp', 'm.0hptw3n', 'm.01_d4', 'm.07t31', 'm.085h1', 'm.05yg8kx', 'm.0p0f42t', 'm.05k8d16', 'm.0rh6k', 'm.0h8d', 'm.0b76ccf', 'm.049379x', 'm.034tl', 'm.02s9vc', 'm.02_b7d', 'm.06zn0wv', 'm.03s8ty', 'm.05nnzj', 'm.0410wvr', 'm.06w1f95', 'm.0949mf', 'm.04cmzx', 'm.0h5q3s', 'm.027wj2_', 'm.039g09', 'm.03__f', 'm.0dpk_', 'm.04v6v', 'm.0fbj_n', 'm.0bbvpm', 'm.0g1v4c', 'm.099qfx', 'm.0gthvn', 'm.047rtrd', 'm.03wdkly', 'm.02wvkcb']",what type of religion in the united states has the kushinagar sanctified site?,"['m.0c9rw5', 'm.01d9r3', 'm.02h76wg', 'm.0j729', 'm.03pmt', 'm.011c7j4z', 'm.059dn', 'm.0c0cs', 'm.07vsl', 'm.08__h_w', 'm.03zdww', 'm.04kk0j0', 'm.01vqcr', 'm.05bf38', 'm.0c0bf', 'm.0429lm', 'm.02wtp8v', 'm.0gzltl7', 'm.06kmqz', 'm.0wxy7nm', 'm.0426tzj', 'm.0gw7mgc', 'm.060d2', 'm.07t58', 'm.0b3wk', 'm.0pdtgbh', 'm.0h853q6', 'm.011c1fjn', 'm.04fhpj6', 'm.04fl3np', 'm.04fxlgq', 'm.04bccr9', 'm.04938pv', 'm.07t65', 'm.06c6l', 'm.02pmtdt', 'm.04gd7', 'm.018qjq', 'm.0p0f42t', 'm.015dvh', 'm.04mn72t', 'm.05fsb', 'm.0d6lp', 'm.03bw05c', 'm.06jdbv', 'm.01_d4', 'm.085h1', 'm.05yg8kx', 'm.07t31', 'm.0hptw3n', 'm.0b76ccf', 'm.05k8d16', 'm.0rh6k', 'm.02s9vc', 'm.02_b7d', 'm.06zn0wv', 'm.03s8ty', 'm.05nnzj', 'm.0410wvr', 'm.06w1f95', 'm.0949mf', 'm.04cmzx', 'm.0h5q3s', 'm.0h8d']",TP
what major religion in the united states has kushinagar as a religious sacred site?,"[{'kb_id': 'm.092bf5', 'text': 'Buddhism'}]","['m.07t65', 'm.085h1', 'm.05yg8kx', 'm.059dn', 'm.02h76wg', 'm.01d9r3', 'm.011c7j4z', 'm.02j71', 'm.0p0f42t', 'm.0c9rw5', 'm.02pmtdt', 'm.04gd7', 'm.03zdww', 'm.03pmt', 'm.0gw7mgc', 'm.0429lm', 'm.08__h_w', 'm.03bw05c', 'm.0j729', 'm.0gzltl7', 'm.05cnr', 'm.060d2', 'm.0wxy7nm', 'm.0426tzj', 'm.0b90_r']",what major religion in the united states has kushinagar as a spiritual sanctified site?,"['m.07t65', 'm.085h1', 'm.05yg8kx', 'm.059dn', 'm.0p0f42t', 'm.01d9r3', 'm.02h76wg', 'm.0c9rw5', 'm.011c7j4z', 'm.02j71', 'm.0j729', 'm.03pmt', 'm.02pmtdt', 'm.04gd7']",TP
what are the official languages spoken where sviatoslav shevchuk is a religious leader?,"[{'kb_id': 'm.012v8', 'text': 'Albanian language'}, {'kb_id': 'm.019yz7', 'text': 'Tatar Language'}, {'kb_id': 'm.01h2j_', 'text': 'Moldovan language'}, {'kb_id': 'm.02hxc3j', 'text': 'Romanian Language'}, {'kb_id': 'm.02ztjwg', 'text': 'Hungarian language'}, {'kb_id': 'm.06b_j', 'text': 'Russian Language'}, {'kb_id': 'm.0cjk9', 'text': 'Ukrainian Language'}]","['m.02cd38', 'm.03d2k_l', 'm.06b__k', 'm.04p69g']",what are the prescribed languages spoken where sviatoslav shevchuk is a spiritual leader?,"['m.02cd38', 'm.03d2k_l', 'm.04p69g']",TP
where did the famous person who went to al-thager model school got killed?,"[{'kb_id': 'm.011hs1', 'text': 'Abbottabad'}]",['m.01z215'],where did the illustrious person who went to al - thager model school got killed?,"['m.0w_6lht', 'm.01z215']",TP
in which country with a part time employment rate of 10.2 percent is portuguese spoken?,"[{'kb_id': 'm.04thp', 'text': 'Macau'}]","['m.02lx0', 'm.05r4w', 'm.04wlh', 'm.0j4b', 'm.0hg5', 'm.0d05w3', 'm.015fr', 'm.036b_']",in which country with a part time employment rate of 10.2 percent is lusitanian spoken?,"['m.02lx0', 'm.04wlh', 'm.0j4b', 'm.0hg5', 'm.0d05w3', 'm.05r4w', 'm.015fr']",TP
how does the religious organization of st. paul the apostle church refer to their deity?,"[{'kb_id': 'm.03qsc', 'text': 'Holy Spirit'}, {'kb_id': 'm.045m1_', 'text': 'Jesus Christ'}, {'kb_id': 'm.077_fbm', 'text': 'The Father'}, {'kb_id': 'm.0d05l6', 'text': 'God'}]","['m.077_fbm', 'm.03qsc', 'm.0d05l6', 'm.045m1_', 'm.02wvcg4', 'm.05_6s', 'm.056y1t', 'm.012lvl', 'm.07lq1']",how does the spiritual organization of st. paul the apostle church refer to their deity?,"['m.077_fbm', 'm.03qsc', 'm.0d05l6', 'm.045m1_', 'm.05ld9', 'm.05crg', 'm.01dfl']",TP
"what currency is used in the country that has national anthem jamaica, land we love?","[{'kb_id': 'm.04xc2m', 'text': 'Jamaican dollar'}]","['m.07ssc', 'm.0ctw_b', 'm.09c7w0', 'm.03h64', 'm.0d05w3', 'm.0d060g', 'm.035hm', 'm.034tl', 'm.04v6v', 'm.05r7t', 'm.03rt9', 'm.0hzlz', 'm.07z5n', 'm.07tp2', 'm.06t2t', 'm.02kdw56', 'm.03_3d', 'm.0c09_k8', 'm.0j5g9', 'm.0chghy', 'm.020p1', 'm.03nyl', 'm.060xy', 'm.07ytt', 'm.07f9q', 'm.01g5nl', 'm.03cf4h', 'm.0y74r_', 'm.01nty', 'm.05br2', 'm.07fsv', 'm.06dfg', 'm.06s6l', 'm.035dk', 'm.06s0l', 'm.01nln', 'm.047t_', 'm.09wfqp', 'm.019rg5', 'm.088q4', 'm.05bmq', 'm.05sb1', 'm.06ryl', 'm.0166v', 'm.05v8c', 'm.02wt0', 'm.0160w', 'm.07fr_', 'm.07dzf', 'm.035yg', 'm.0164b', 'm.034m8', 'm.0162v', 'm.06tw8', 'm.04hvw', 'm.0l3h', 'm.026wtlf', 'm.06s9y', 'm.04wcf', 'm.06s_2', 'm.04v3q', 'm.04hzj', 'm.06v36', 'm.088vb', 'm.03rk0', 'm.027nb', 'm.0165b', 'm.0hdx8', 'm.05qkp']","what currency is used in the country that has home anthem jamaica, land we love?","['m.07ssc', 'm.0ctw_b', 'm.09c7w0', 'm.0d060g', 'm.03h64', 'm.0d05w3', 'm.035hm', 'm.03rt9', 'm.034tl', 'm.04v6v', 'm.05r7t', 'm.0hzlz', 'm.07z5n', 'm.07tp2', 'm.06t2t', 'm.02kdw56', 'm.03_3d', 'm.0chghy', 'm.0c09_k8', 'm.0j5g9', 'm.020p1', 'm.03nyl', 'm.060xy', 'm.07f9q', 'm.07ytt', 'm.0y74r_', 'm.01nty', 'm.05br2', 'm.07fsv', 'm.06dfg', 'm.06s6l', 'm.035dk', 'm.06s0l', 'm.01nln', 'm.047t_', 'm.09wfqp', 'm.019rg5', 'm.088q4', 'm.05bmq', 'm.05sb1', 'm.06ryl', 'm.0166v', 'm.05v8c', 'm.02wt0', 'm.0160w', 'm.07fr_', 'm.07dzf', 'm.035yg', 'm.0164b', 'm.034m8', 'm.0162v', 'm.06tw8', 'm.04hvw', 'm.0l3h', 'm.026wtlf', 'm.06s9y', 'm.04wcf', 'm.06s_2', 'm.04v3q', 'm.04hzj', 'm.06v36', 'm.088vb', 'm.03rk0', 'm.027nb', 'm.0165b', 'm.0hdx8', 'm.05qkp', 'm.07sgg90']",FP
what is the official language of the country with viktor yanukovych as a government official?,"[{'kb_id': 'm.012v8', 'text': 'Albanian language'}, {'kb_id': 'm.019yz7', 'text': 'Tatar Language'}, {'kb_id': 'm.01h2j_', 'text': 'Moldovan language'}, {'kb_id': 'm.02hxc3j', 'text': 'Romanian Language'}, {'kb_id': 'm.02ztjwg', 'text': 'Hungarian language'}, {'kb_id': 'm.06b_j', 'text': 'Russian Language'}, {'kb_id': 'm.0cjk9', 'text': 'Ukrainian Language'}]","['m.0cjk9', 'm.06b_j']",what is the prescribed language of the country with viktor yanukovych as a government official?,"['m.0cjk9', 'm.06b_j', 'm.019yz7']",TP
